commune;department;dept_id;region;school_name
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général Lalande
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général Lalande
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général Lalande
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général Lalande
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général Lalande
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général et technologique Edgar Quinet
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général et technologique Edgar Quinet
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général Lalande
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général Lalande
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général et technologique Edgar Quinet
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général et technologique Edgar Quinet
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général Lalande
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général Lalande
Bourg-en-Bresse;Ain;D001;Auvergne-Rhône-Alpes;Lycée général Lalande
Saint-Quentin;Aisne;D002;Hauts-de-France;Lycée général et technologique Henri Martin
Saint-Quentin;Aisne;D002;Hauts-de-France;Lycée général et technologique Henri Martin
Saint-Quentin;Aisne;D002;Hauts-de-France;Lycée général et technologique Pierre de La Ramée
Saint-Quentin;Aisne;D002;Hauts-de-France;Lycée général et technologique Henri Martin
Saint-Quentin;Aisne;D002;Hauts-de-France;Lycée général et technologique Henri Martin
Saint-Quentin;Aisne;D002;Hauts-de-France;Lycée général et technologique Pierre de La Ramée
Saint-Quentin;Aisne;D002;Hauts-de-France;Lycée général et technologique Pierre de La Ramée
Saint-Quentin;Aisne;D002;Hauts-de-France;Lycée général et technologique Pierre de La Ramée
Montluçon;Allier;D003;Auvergne-Rhône-Alpes;Lycée général Madame de Staël
Montluçon;Allier;D003;Auvergne-Rhône-Alpes;Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux
Montluçon;Allier;D003;Auvergne-Rhône-Alpes;Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux
Montluçon;Allier;D003;Auvergne-Rhône-Alpes;Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux
Montluçon;Allier;D003;Auvergne-Rhône-Alpes;Lycée général Madame de Staël
Montluçon;Allier;D003;Auvergne-Rhône-Alpes;Lycée polyvalent Paul Constans - Lycée des métiers scientifiques, industriels, administratifs et commerciaux
Montluçon;Allier;D003;Auvergne-Rhône-Alpes;Lycée général Madame de Staël
Montluçon;Allier;D003;Auvergne-Rhône-Alpes;Lycée général Madame de Staël
Gap;Hautes-Alpes;D005;Provence-Alpes-Côte d'Azur;Lycée général et technologique Dominique Villars
Gap;Hautes-Alpes;D005;Provence-Alpes-Côte d'Azur;Lycée général et technologique Dominique Villars
Gap;Hautes-Alpes;D005;Provence-Alpes-Côte d'Azur;Lycée général et technologique Dominique Villars
Gap;Hautes-Alpes;D005;Provence-Alpes-Côte d'Azur;Lycée général et technologique Dominique Villars
Antibes;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général et technologique Jacques Audiberti
Cannes;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général et technologique Jules Ferry
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général et technologique Honoré d'Estienne d'Orves
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général et technologique Honoré d'Estienne d'Orves
Cannes;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général et technologique privé Stanislas
Cannes;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général et technologique privé Stanislas
Cannes;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général et technologique privé Stanislas
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Ecole 2nd degré générale privée Michelet
Valbonne;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général International
Valbonne;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général International
Valbonne;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général International
Valbonne;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général International
Valbonne;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général International
Valbonne;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général International
Valbonne;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général International
Cannes;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général et technologique Jules Ferry
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général Masséna
Nice;Alpes-Maritimes;D006;Provence-Alpes-Côte d'Azur;Lycée général et technologique Les Eucalyptus
