dept_num;pob;cadres;activity_rate;tertiaire
1001;L'Abergement-Clémenciat;9.8;82.1;47
1002;L'Abergement-de-Varey;5.1;80.1;25
1004;Ambérieu-en-Bugey;5.3;76.7;86.1
1005;Ambérieux-en-Dombes;7.3;81.4;60.6
1006;Ambléon;0;70.8;0
1007;Ambronay;6.3;80.2;68.5
1008;Ambutrix;6.3;79.8;85.9
1009;Andert-et-Condon;0;81.2;28.6
1010;Anglefort;1.1;76.6;34.4
1011;Apremont;13.3;82.3;79.6
1012;Aranc;0;80.3;25
1013;Arandas;0;77.3;50
1014;Arbent;1.1;76.4;54.5
1015;Arboys en Bugey;7.8;82.1;52.5
1016;Arbigny;0;84.1;81.2
1017;Argis;0;72.4;72.2
1019;Armix;0;86.7;100
1021;Ars-sur-Formans;6.4;78.9;79.7
1022;Artemare;6.2;77.3;88.6
1023;Asnières-sur-Saône;0;75.5;68.6
1024;Attignat;4.3;83.1;73.7
1025;Bâgé-Dommartin;4.4;80.1;68.4
1026;Bâgé-le-Châtel;3.8;83.6;95.3
1027;Balan;4.2;78.4;74.8
1028;Baneins;8;81.3;85.9
1029;Beaupont;3.3;76.9;82
1030;Beauregard;13.6;80.1;66.7
1031;Bellignat;2.4;69.5;55.4
1032;Béligneux;8.4;80.5;82.5
1033;Valserhône;5.4;77.1;74.8
1034;Belley;3.3;73.9;67
1035;Belleydoux;7.9;80.5;44.4
1036;Valromey-sur-Séran;8.7;76.6;50
1037;Bénonces;0;78.5;70
1038;Bény;10.6;80.9;58.5
1040;Béréziat;0;82.4;64.5
1041;Bettant;10.1;82.1;77
1042;Bey;0;82.6;50
1043;Beynost;15.3;78.5;68.5
1044;Billiat;10.7;84.2;62.7
1045;Birieux;3.8;85.7;71.2
1046;Biziat;1.4;81.8;42
1047;Blyes;9.1;84.9;52
1049;La Boisse;10.4;78;72.1
1050;Boissey;0;81.3;72.7
1051;Bolozon;0;75;100
1052;Bouligneux;10.9;77.3;57.1
1053;Bourg-en-Bresse;6.5;70.5;84.3
1054;Bourg-Saint-Christophe;19.8;84.1;78.8
1056;Boyeux-Saint-Jérôme;7.1;83.7;35.1
1057;Boz;2.5;79.9;55.8
1058;Brégnier-Cordon;4.8;79;55.8
1060;Brénod;4.2;85.5;65.3
1061;Brens;8.6;77.6;80
1062;Bressolles;18.7;81.8;50.2
1063;Brion;7.7;79.4;46.2
1064;Briord;2.3;80.7;42
1065;Buellas;10.3;81.2;62.1
1066;La Burbanche;14.1;62.3;N/A - division par 0
1067;Ceignes;5;82.5;77.6
1068;Cerdon;6;81.4;65.7
1069;Certines;5.5;82;58.3
1071;Cessy;13.9;84.2;92.6
1072;Ceyzériat;9.1;78.7;74.3
1073;Ceyzérieu;12;78.8;60.4
1074;Chalamont;7.9;82.4;72.6
1075;Chaleins;6.2;82.9;37.5
1076;Chaley;15.9;65.8;100
1077;Challes-la-Montagne;6.6;86.3;55.6
1078;Challex;10.1;81.4;80.4
1079;Champagne-en-Valromey;10.5;75.1;75.2
1080;Champdor-Corcelles;1.9;81.3;42.9
1081;Champfromier;0;81.9;23.9
1082;Chanay;2.2;70.4;80.9
1083;Chaneins;8.2;84.9;44
1084;Chanoz-Châtenay;10.1;82.4;53
1085;La Chapelle-du-Châtelard;5.6;86.5;35.8
1087;Charix;12.7;76;79.1
1088;Charnoz-sur-Ain;15;81.1;77.2
1089;Château-Gaillard;5.8;79.7;57.6
1090;Châtenay;0;78.2;64.3
1092;Châtillon-la-Palud;7.4;80.3;75.3
1093;Châtillon-sur-Chalaronne;5.9;78.7;69
1094;Chavannes-sur-Reyssouze;3.5;81.5;71.6
1095;Nivigne et Suran;4.5;78.7;41.1
1096;Chaveyriat;10.6;81.6;51.9
1098;Chazey-Bons;4.5;75.8;46.3
1099;Chazey-sur-Ain;12.5;82.2;85.7
1100;Cheignieu-la-Balme;9.7;76.9;0
1101;Chevillard;8.7;89.7;50
1102;Chevroux;6.2;83.1;71.2
1103;Chevry;14.9;84.6;67.9
1104;Chézery-Forens;2.9;82.7;48.2
1105;Civrieux;11.7;83;57.9
1106;Cize;0;76;0
1107;Cleyzieu;8.7;81.5;100
1108;Coligny;5.2;79.6;75.3
1109;Collonges;11.7;83.2;82.6
1110;Colomieu;0;74.5;100
1111;Conand;36.2;82.1;62.5
1112;Condamine;11.5;85.8;61.6
1113;Condeissiat;3.1;84.4;54.9
1114;Confort;8;80.8;75.6
1115;Confrançon;4.6;84.2;38.5
1116;Contrevoz;0;78;65.9
1117;Conzieu;0;86.1;27.8
1118;Corbonod;8.2;77;80.2
1121;Corlier;0;86.7;0
1123;Cormoranche-sur-Saône;7.4;81.5;48.8
1124;Cormoz;3.4;82.3;60.9
1125;Corveissiat;4.3;77.5;35.4
1127;Courmangoux;9.1;81.3;57.9
1128;Courtes;8;80.9;81.5
1129;Crans;9.7;79.8;60
1130;Bresse Vallons;2.7;82.4;50.8
1133;Cressin-Rochefort;2.9;77.8;66.7
1134;Crottet;10.5;80.7;51.7
1135;Crozet;16.3;84.1;83.9
1136;Cruzilles-lès-Mépillat;4.2;78.5;93.1
1138;Culoz-Béon;3.6;75.6;54.1
1139;Curciat-Dongalon;0;76;37.7
1140;Curtafond;7.8;81.8;53.1
1141;Cuzieu;2.7;76;50
1142;Dagneux;6.8;79;60.1
1143;Divonne-les-Bains;20.6;81.3;90.5
1145;Dompierre-sur-Veyle;10.5;80.3;53.8
1146;Dompierre-sur-Chalaronne;0;77.8;41.7
1147;Domsure;4.7;80.6;59.6
1148;Dortan;7.4;73.4;58.4
1149;Douvres;10.3;76.8;91.2
1150;Drom;22.3;84.8;22.7
1151;Druillat;4.3;80.9;76.5
1152;Échallon;9.1;82.5;68.1
1153;Échenevex;17.6;83.5;80
1155;Évosges;0;76.4;28.6
1156;Faramans;9.2;83.5;60.9
1157;Fareins;7.8;80.6;58.8
1158;Farges;8.8;81.8;88.9
1159;Feillens;4.3;81.7;60
1160;Ferney-Voltaire;20.1;81.1;95.7
1162;Flaxieu;26.1;80;0
1163;Foissiat;2.3;81.2;45.7
1165;Francheleins;8.1;81.7;71.3
1166;Frans;8.9;81.9;55.7
1167;Garnerans;13.1;80.3;83.8
1169;Genouilleux;6.8;86.3;91.4
1170;Béard-Géovreissiat;8.4;79.4;47.5
1171;Géovreisset;8.5;76.7;44.7
1173;Gex;11.1;84.8;85.3
1174;Giron;6.7;80.9;76.2
1175;Gorrevod;4.7;76.2;57.4
1177;Grand-Corent;7;78.8;21.4
1179;Grièges;2.6;77.1;54.2
1180;Grilly;25.7;79.4;82.9
1181;Groissiat;2.8;77;34.1
1183;Guéreins;8.5;78.9;56.9
1184;Hautecourt-Romanèche;3.2;82.6;60.6
1185;Plateau d'Hauteville;3.8;74.7;86.8
1187;Haut Valromey;8.7;76.1;61.6
1188;Illiat;3.6;83.1;48.8
1189;Injoux-Génissiat;4.6;81.4;46.9
1190;Innimond;0;73.6;62.5
1191;Izenave;6.5;92.2;27.8
1192;Izernore;3.3;81.9;35.6
1193;Izieu;4.8;71.2;50
