pob;dept;global;politics;executive;minister;parliament;president;scholar;senat;median;cadres;activity_rate;tertiaire;expo_demog;lycees_pro;lycees_gt;lycees;edu;prepa;prepa_count;prepa_rate
L'Abergement-Clémenciat;1;0;0;0;0;0;0;0;0;;9.8;82.1;47;491.6833846153846;0;0;0;0;0;0;0.0
L'Abergement-de-Varey;1;0;0;0;0;0;0;0;0;;5.1;80.1;25;205.4763076923077;0;0;0;0;0;0;0.0
Ambérieu-en-Bugey;1;1;1;0;0;1;0;0;0;;5.3;76.7;86.1;6702.475076923078;2;2;4;1;0;0;0.0
Ambérieux-en-Dombes;1;0;0;0;0;0;0;0;0;;7.3;81.4;60.6;685.8406923076925;0;0;0;0;0;0;0.0
Ambléon;1;0;0;0;0;0;0;0;0;;0;70.8;0;131.8293846153846;0;0;0;0;0;0;0.0
Ambronay;1;0;0;0;0;0;0;0;0;;6.3;80.2;68.5;1242.1034615384617;0;0;0;0;0;0;0.0
Ambutrix;1;0;0;0;0;0;0;0;0;;6.3;79.8;85.9;284.9604615384616;0;0;0;0;0;0;0.0
Andert-et-Condon;1;0;0;0;0;0;0;0;0;;0;81.2;28.6;223.39307692307693;0;0;0;0;0;0;0.0
Anglefort;1;0;0;0;0;0;0;0;0;;1.1;76.6;34.4;667.1111538461539;0;0;0;0;0;0;0.0
Apremont;1;0;0;0;0;0;0;0;0;;13.3;82.3;79.6;224.38653846153844;0;0;0;0;0;0;0.0
Aranc;1;0;0;0;0;0;0;0;0;;0;80.3;25;467.30023076923084;0;0;0;0;0;0;0.0
Arandas;1;0;0;0;0;0;0;0;0;;0;77.3;50;252.15592307692307;0;0;0;0;0;0;0.0
Arbent;1;0;0;0;0;0;0;0;0;;1.1;76.4;54.5;1049.920923076923;0;0;0;0;0;0;0.0
Arboys en Bugey;1;0;0;0;0;0;0;0;0;;7.8;82.1;52.5;699.3265384615385;0;0;0;0;0;0;0.0
Arbigny;1;0;0;0;0;0;0;0;0;;0;84.1;81.2;507.15069230769234;0;0;0;0;0;0;0.0
Argis;1;0;0;0;0;0;0;0;0;;0;72.4;72.2;770.5927692307691;0;0;0;0;0;0;0.0
Armix;1;0;0;0;0;0;0;0;0;;0;86.7;100;73.45946153846154;0;0;0;0;0;0;0.0
Ars-sur-Formans;1;0;0;0;0;0;0;0;0;;6.4;78.9;79.7;503.84453846153843;0;0;0;0;0;0;0.0
Artemare;1;0;0;0;0;0;0;0;0;;6.2;77.3;88.6;883.6648461538462;0;0;0;0;0;0;0.0
Asnières-sur-Saône;1;0;0;0;0;0;0;0;0;;0;75.5;68.6;95.7766923076923;0;0;0;0;0;0;0.0
Attignat;1;0;0;0;0;0;0;0;0;;4.3;83.1;73.7;1192.7253846153844;0;0;0;0;0;0;0.0
Bâgé-Dommartin;1;0;0;0;0;0;0;0;0;;4.4;80.1;68.4;2362.532153846154;0;0;0;0;0;0;0.0
Bâgé-le-Châtel;1;0;0;0;0;0;0;0;0;;3.8;83.6;95.3;561.3520000000001;1;0;1;1;0;0;0.0
Balan;1;0;0;0;0;0;0;0;0;;4.2;78.4;74.8;848.304923076923;0;0;0;0;0;0;0.0
Baneins;1;0;0;0;0;0;0;0;0;;8;81.3;85.9;364.1965384615385;0;0;0;0;0;0;0.0
Beaupont;1;0;0;0;0;0;0;0;0;;3.3;76.9;82;806.0952307692306;0;0;0;0;0;0;0.0
Beauregard;1;0;0;0;0;0;0;0;0;;13.6;80.1;66.7;370.4131538461539;0;0;0;0;0;0;0.0
Bellignat;1;0;0;0;0;0;0;0;0;;2.4;69.5;55.4;777.578769230769;2;0;2;1;0;0;0.0
Béligneux;1;0;0;0;0;0;0;0;0;;8.4;80.5;82.5;828.9948461538462;0;0;0;0;0;0;0.0
Valserhône;1;0;0;0;0;0;0;0;0;;5.4;77.1;74.8;10251.144000000002;2;0;2;1;0;0;0.0
Belley;1;3;3;0;1;2;0;0;0;;3.3;73.9;67;6038.819153846153;0;0;0;0;0;0;0.0
Belleydoux;1;0;0;0;0;0;0;0;0;;7.9;80.5;44.4;434.0662307692308;0;0;0;0;0;0;0.0
Valromey-sur-Séran;1;0;0;0;0;0;0;0;0;;8.7;76.6;50;1542.0406923076923;0;0;0;0;0;0;0.0
Bénonces;1;0;0;0;0;0;0;0;0;;0;78.5;70;341.2789230769231;0;0;0;0;0;0;0.0
Bény;1;0;0;0;0;0;0;0;0;;10.6;80.9;58.5;698.4698461538461;0;0;0;0;0;0;0.0
Béréziat;1;0;0;0;0;0;0;0;0;;0;82.4;64.5;460.5126923076923;0;0;0;0;0;0;0.0
Bettant;1;0;0;0;0;0;0;0;0;;10.1;82.1;77;545.7707692307692;0;0;0;0;0;0;0.0
Bey;1;0;0;0;0;0;0;0;0;;0;82.6;50;162.25138461538464;0;0;0;0;0;0;0.0
Beynost;1;0;0;0;0;0;0;0;0;;15.3;78.5;68.5;1332.9881538461536;0;0;0;0;0;0;0.0
Billiat;1;0;0;0;0;0;0;0;0;;10.7;84.2;62.7;356.3395384615385;0;0;0;0;0;0;0.0
Birieux;1;0;0;0;0;0;0;0;0;;3.8;85.7;71.2;174.91192307692307;0;0;0;0;0;0;0.0
Biziat;1;0;0;0;0;0;0;0;0;;1.4;81.8;42;608.7536923076923;0;0;0;0;0;0;0.0
