region;global;politics;executive;minister;parliament;president;scholar;senat;median_euro;poverty_rate;expo_demog;colleges;lycees_pro;lycees_gt;second_degre;cadres_and_pro;activity_rate;tertiaire;prepa_count;prepa_rate
Guadeloupe;50;50;0;4;30;0;0;16;15720;34.5;232739.86323076923;59;11;24;94;5.5;70.6;83.1;42;0.18045898720132708
Martinique;37;35;1;0;26;0;1;9;19770;26.8;246430.28892307694;55;11;17;87;6.2;72.3;83.4;29;0.11768033924211456
Guyane;21;21;0;2;13;0;0;6;11040;52.9;38661.42938461539;39;3;20;57;4.8;63.4;83.1;12;0.31038686854074726
La Réunion;60;58;1;2;36;0;1;20;17070;36.1;270305.5616923077;93;15;30;146;5.1;69.5;83.6;58;0.21457198156367255
Île-de-France;1405;956;263;150;619;3;186;184;25210;16.1;7070356.597384617;1269;117;413;2004;18.0;76.7;87.8;1705;0.24114766723798536
Centre-Val de Loire;223;185;18;8;131;0;20;46;22780;13.5;1852287.1943076926;291;54;53;426;6.7;76.0;74.9;116;0.06262527774120684
Bourgogne-Franche-Comté;326;274;15;23;193;0;37;58;22750;13.4;2376226.0278461543;335;57;139;501;5.9;75.4;73.5;165;0.06943783885304816
Normandie;262;228;11;15;160;1;23;52;22480;13.7;2489096.0318461545;394;69;155;602;6.2;74.8;74.3;154;0.0618698507529172
Hauts-de-France;589;534;30;28;372;2;25;132;21420;18.0;4755716.539846155;672;148;369;1049;6.5;72.7;78.6;321;0.06749771507836423
Grand Est;557;459;45;30;313;0;53;116;22960;15.1;4410722.905076923;611;105;239;950;6.6;74.8;75.7;287;0.0650686987544947
Pays de la Loire;278;233;21;22;158;0;24;53;23050;11.0;2371556.766461538;439;72;173;660;7.4;77.1;73.5;199;0.083911126570635
Bretagne;302;254;24;20;170;0;24;64;23240;11.1;2460426.2732307697;397;61;90;591;7.3;75.1;75.7;207;0.08413176295999703
Nouvelle-Aquitaine;606;511;40;38;346;1;55;126;22710;13.8;4513015.407846154;693;143;226;1055;7.0;75.7;77.1;241;0.0534011028593004
Occitanie;563;497;25;22;334;0;41;141;22010;17.5;3650774.1546153855;624;103;207;950;7.9;74.0;80.0;326;0.08929612903823808
Auvergne-Rhône-Alpes;729;616;61;40;424;1;52;151;23800;13.3;5181285.836461538;873;179;211;1381;8.9;76.5;76.2;491;0.09476412139719341
Provence-Alpes-Côte d'Azur;424;336;43;21;230;0;45;85;22820;17.4;2527859.5229230765;489;93;906;787;8.1;73.5;83.3;300;0.11867748080126567
Corse;68;61;5;5;35;0;2;21;22390;18.1;202542.4976923077;31;4;88;47;5.3;73.1;80.8;10;0.049372354512935326
