name;tag;dob;pob;dept_ob;dept_num;region;lat;lon;confidence;id
Jonas Tahuaitu;depute;1944;Papearii;;;;;;;18533
Frédéric Zgainski;depute;1972;Lyon;;;;;;;19849
Gilles Lurton;depute;1963;Saint-Servan;;;;;;;18474
Vincent Delaroux;depute;1938;La Bernerie-en-Retz;;;;;;;2266
Stéphane Chouin;depute;1969;N/A;;;;;;;20048
Bruno Bourg-Broc;depute;1945;Châlons-en-Champagne;;;;;;;1079
Ibrahim Aboubacar;depute;1965;Fomboni;;;;;;;18330
Jean Maurice Bernard;depute;1923;Brabant-le-roi;;;;;;;683
Pierre Métais;depute;1930;Couhé;;;;;;;5224
Guy Monjalon;depute;1947;Lésigny;;;;;;;5344
