name;tag;dob;pob;lat;lon;dep_num;dep_name;region;url
Catégorie:Banquier français du XXIe siècle;executiveTER;;Unknown;;;;;;https://fr.wikipedia.org/wiki/Cat%C3%A9gorie:Banquier_fran%C3%A7ais_du_XXIe_si%C3%A8cle
Catégorie:Imprimeur français du XXIe siècle;executiveTER;;Unknown;;;;;;https://fr.wikipedia.org/wiki/Cat%C3%A9gorie:Imprimeur_fran%C3%A7ais_du_XXIe_si%C3%A8cle
Catégorie:Éditrice française du XXIe siècle;executiveTER;;Unknown;;;;;;https://fr.wikipedia.org/wiki/Cat%C3%A9gorie:%C3%89ditrice_fran%C3%A7aise_du_XXIe_si%C3%A8cle
Catégorie:Éditeur français du XXIe siècle;executiveTER;;Unknown;;;;;;https://fr.wikipedia.org/wiki/Cat%C3%A9gorie:%C3%89diteur_fran%C3%A7ais_du_XXIe_si%C3%A8cle
Catégorie:Industriel français du XXIe siècle;executiveTER;;Unknown;;;;;;https://fr.wikipedia.org/wiki/Cat%C3%A9gorie:Industriel_fran%C3%A7ais_du_XXIe_si%C3%A8cle
Bernard Arnault;executiveTER;1949.0;Roubaix;50.688454;3.183662;59;Nord;Hauts-de-France;https://fr.wikipedia.org/wiki/Bernard_Arnault
Xavier Azalbert;executiveTER;1964.0;Revel (Haute-Garonne);43.57276;1.495175;31;Haute-Garonne;Occitanie;https://fr.wikipedia.org/wiki/Xavier_Azalbert
Karim Beguir;executiveTER;1976.0;Échirolles;45.146125;5.715042;38;Isère;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Karim_Beguir
Nourdine Bihmane;executiveTER;1977.0;Maroc;48.246969;-1.994383;35;Ille-et-Vilaine;Bretagne;https://fr.wikipedia.org/wiki/Nourdine_Bihmane
Edward Bouygues;executiveTER;1984.0;Unknown;;;;;;https://fr.wikipedia.org/wiki/Edward_Bouygues
Anne Bouverot;executiveTER;1966.0;Unknown;;;;;;https://fr.wikipedia.org/wiki/Anne_Bouverot
Philippe Brett;executiveTER;1959.0;Unknown;;;;;;https://fr.wikipedia.org/wiki/Philippe_Brett
Vincent Bolloré;executiveTER;1952.0;Boulogne-Billancourt;48.837799;2.243202;92;Hauts-de-Seine;Île-de-France;https://fr.wikipedia.org/wiki/Vincent_Bollor%C3%A9
Marie Cheval;executiveTER;1974.0;Paris 15;48.84162;2.295289;75;Paris;Île-de-France;https://fr.wikipedia.org/wiki/Marie_Cheval
Pierre Cardin;executiveTER;1922.0;San Biagio di Callalta;;;;;;https://fr.wikipedia.org/wiki/Pierre_Cardin
Coralie Piton;executiveTER;1977.0;Unknown;;;;;;https://fr.wikipedia.org/wiki/Coralie_Piton
Barbara Martin Coppola;executiveTER;;Unknown;;;;;;https://fr.wikipedia.org/wiki/Barbara_Martin_Coppola
Nicolas Denis;executiveTER;1967.0;Unknown;;;;;;https://fr.wikipedia.org/wiki/Nicolas_Denis
Rodolphe Delord;executiveTER;;Unknown;;;;;;https://fr.wikipedia.org/wiki/Rodolphe_Delord
Antoine Duboscq;executiveTER;1968.0;Rouen;49.349295;0.811661;27;Eure;Normandie;https://fr.wikipedia.org/wiki/Antoine_Duboscq
Ariane Daguin;executiveTER;1958.0;Auch;43.656961;0.57082;32;Gers;Occitanie;https://fr.wikipedia.org/wiki/Ariane_Daguin
Jean-Baptiste Descroix-Vernier;executiveTER;1970.0;Lyon;45.758;4.835;69;Rhône;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Jean-Baptiste_Descroix-Vernier
Philippe Dumont (dirigeant d'entreprise);executiveTER;1960.0;Unknown;;;;;;https://fr.wikipedia.org/wiki/Philippe_Dumont_(dirigeant_d%27entreprise)
Pierre-Étienne Franc;executiveTER;;Unknown;;;;;;https://fr.wikipedia.org/wiki/Pierre-%C3%89tienne_Franc
Joséphine Goube;executiveTER;;Unknown;;;;;;https://fr.wikipedia.org/wiki/Jos%C3%A9phine_Goube
Rose Angèle Faye;executiveTER;1980.0;Thiès;49.749663;4.609704;8;Ardennes;Grand Est;https://fr.wikipedia.org/wiki/Rose_Ang%C3%A8le_Faye
Gilles Dyan;executiveTER;;Tunis en Tunisie;48.595812;-3.815715;29;Finistère;Bretagne;https://fr.wikipedia.org/wiki/Gilles_Dyan
Carlos Ghosn;executiveTER;1954.0;Rondônia;47.639148;-1.354885;44;Loire-Atlantique;Pays de la Loire;https://fr.wikipedia.org/wiki/Carlos_Ghosn
Meziane Idjerouidene;executiveTER;1980.0;Paris;48.859;2.347;75;Paris;Île-de-France;https://fr.wikipedia.org/wiki/Meziane_Idjerouidene
Omar Harfouch;executiveTER;1969.0;Tripoli (Liban);44.290897;-0.238611;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Omar_Harfouch
Alain Minc;executiveTER;1949.0;Paris 19;48.888949;2.396993;75;Paris;Île-de-France;https://fr.wikipedia.org/wiki/Alain_Minc
Nacer Kettane;executiveTER;1953.0;Adekar;;;;;;https://fr.wikipedia.org/wiki/Nacer_Kettane
Maguelone Pontier;executiveTER;1985.0;Montpellier;43.610476;3.87048;34;Hérault;Occitanie;https://fr.wikipedia.org/wiki/Maguelone_Pontier
Matthieu Courtecuisse;executiveTER;1973.0;Valenciennes;50.358552;3.510438;59;Nord;Hauts-de-France;https://fr.wikipedia.org/wiki/Matthieu_Courtecuisse
Gabriel Naouri;executiveTER;1981.0;Unknown;;;;;;https://fr.wikipedia.org/wiki/Gabriel_Naouri
Johann Naldi;executiveTER;1977.0;Unknown;;;;;;https://fr.wikipedia.org/wiki/Johann_Naldi
Patrick Joubert;executiveTER;;Unknown;;;;;;https://fr.wikipedia.org/wiki/Patrick_Joubert
Jean-Yves Parisot;executiveTER;1964.0;Unknown;;;;;;https://fr.wikipedia.org/wiki/Jean-Yves_Parisot
Denis Mollat;executiveTER;1953.0;Talence;44.80642;-0.592018;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Denis_Mollat
Bouna Ndiaye;executiveTER;1965.0;Gambie;-22.334;-135.802;987;Polynésie française;;https://fr.wikipedia.org/wiki/Bouna_Ndiaye
Arnaud de Puyfontaine;executiveTER;1964.0;Paris;48.859;2.347;75;Paris;Île-de-France;https://fr.wikipedia.org/wiki/Arnaud_de_Puyfontaine
Emmanuel Perrotin;executiveTER;1968.0;Montreuil (Seine-Saint-Denis);48.872323;2.455188;93;Seine-Saint-Denis;Île-de-France;https://fr.wikipedia.org/wiki/Emmanuel_Perrotin
Patrick Puy;executiveTER;1955.0;Paris 16;48.856305;2.267032;75;Paris;Île-de-France;https://fr.wikipedia.org/wiki/Patrick_Puy
Bouchra Rejani;executiveTER;1972.0;Casablanca;43.663279;-1.288498;40;Landes;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Bouchra_Rejani
Fanny Reyre-Ménard;executiveTER;1964.0;Saint-Cloud;44.353645;2.553125;12;Aveyron;Occitanie;https://fr.wikipedia.org/wiki/Fanny_Reyre-M%C3%A9nard
Iskandar Safa;executiveTER;1955.0;Ghadir;;;;;;https://fr.wikipedia.org/wiki/Iskandar_Safa
Jérôme Saddier;executiveTER;1970.0;Unknown;;;;;;https://fr.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Saddier
Ziad Takieddine;executiveTER;1950.0;Baakline;48.746303;0.972082;27;Eure;Normandie;https://fr.wikipedia.org/wiki/Ziad_Takieddine
Michel Terestchenko (homme d'affaires);executiveTER;1954.0;Paris;48.859;2.347;75;Paris;Île-de-France;https://fr.wikipedia.org/wiki/Michel_Terestchenko_(homme_d%27affaires)
Bruno Voland;executiveTER;1966.0;Saint-Nazaire;47.275247;-2.242494;44;Loire-Atlantique;Pays de la Loire;https://fr.wikipedia.org/wiki/Bruno_Voland
Corinne Vigreux;executiveTER;1964.0;Harold Goddijn la soc;;;;;;https://fr.wikipedia.org/wiki/Corinne_Vigreux
Marie-Cécile Zinsou;executiveTER;1982.0;Paris;48.859;2.347;75;Paris;Île-de-France;https://fr.wikipedia.org/wiki/Marie-C%C3%A9cile_Zinsou
Philippe Zaouati;executiveTER;1966.0;Marseille;43.282;5.405;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Philippe_Zaouati
