name;tag;dob;pob
Agnes Audier;executive;1746;Aix-en-Provence
Agnes Audier;executive;1746;Aix-en-Provence
Aiman Ezzat;executive;1961;Ismaïlia
Alain Saïd;executive;1995;Noisy-le-Grand
Albert Frere;executive;1926;Fontaine-l'Évêque
Alexandre Arnault;executive;1992;Neuilly-sur-Seine
Alexandre Begougne-De-Juniac;executive;1962;Neuilly-sur-Seine
Alexandre Bompard;executive;1972;Saint-Étienne
Alexandre De-Palmas;executive;1974;Montpellier
Alexandre Ricard;executive;1972;Boulogne-Billancourt
Alexandre Ricard;executive;1972;Boulogne-Billancourt
André Francois-Poncet;executive;1887;Provins
Andre Kudelski;executive;1960;Lausanne
Ann Achleitner;executive;1956;Linz
Anne Bardot;executive;1934;Paris 15
Anne Heilbronner;executive;1969;Neuilly-sur-Seine
Anne Idrac;executive;1951;Saint-Brieuc
Anne Idrac;executive;1951;Saint-Brieuc
Anne Lalou;executive;1963;Paris 14
Anne Rigail;executive;1969;Metz
Anne-claire Meyer;executive;1945;Neuilly-sur-Seine
Anne-gabrielle Lahoud;executive;1969;Neuilly-sur-Seine
Anne-marie Couderc;executive;1950;Aubusson
Anne-marie Idrac;executive;1951;Saint-Brieuc
Annette Winkler;executive;1959;Wiesbaden
Antoine Arnault;executive;1977;Roubaix
Antoine Bernard-De-Saint-Affrique;executive;1964;Boulogne-Billancourt
Antoine Bernard-De-Saint-Affrique;executive;1964;Boulogne-Billancourt
Antoine De-Saint-Affrique;executive;1964;Boulogne-Billancourt
Antoine Frerot;executive;1958;Fontainebleau
Arnaud Erulin;executive;1932;Dole
Arnaud Rousseau;executive;1974;Meaux
Arnaud Roy-De-Puyfontaine;executive;1964;Paris
Arnaud Roy-De-Puyfontaine;executive;1964;Paris
Arthur Sadoun;executive;1971;Dourdan
Astrid Panosyan;executive;1971;Paris 14
Astrid Panosyan;executive;1971;Paris 14
Athina Onassis;executive;1985;Neuilly-sur-Seine
Aurélie Jean;executive;1982;Clamart
Axel Dumas;executive;1970;Neuilly-sur-Seine
Axel Dumas;executive;1970;Neuilly-sur-Seine
Aymeric Renaud;executive;1971;Boulogne-sur-Mer
Barbara Dalibard;executive;1958;Suresnes
Barbara Kux;executive;1954;Zurich
Barbara Kux;executive;1954;Zurich
Baudoin Prot;executive;1951;Paris 17
Baudoin Prot;executive;1951;Paris 17
Baudouin Prot;executive;1951;Paris 17
Belen Garijo;executive;1960;Almansa
Benoit Bazin;executive;1968;Boulogne-Billancourt
Benoît Bazin;executive;1968;Boulogne-Billancourt
Benoit Potier;executive;1957;Mulhouse
Bernadette Chirac;executive;1933;Paris 16
Bernard Arnault;executive;1949;Roubaix
Bernard Dupouy;executive;1825;Bordeaux
Bernard Emie;executive;1958;Paris
Bernard Fontana;executive;1961;Toamasina
Bernard Ramanantsoa;executive;1948;Mulhouse
Bertrand Meheut;executive;1951;Rennes
Bruno Bonnell;executive;1958;Alger
Bruno Roger;executive;1933;Boulogne-Billancourt
Carlo Ferro;executive;1984;Torreón
Carlos Ghosn-Bichara;executive;1954;Porto Velho
Caroline Laurent;executive;1963;Versailles
Caroline Laurent;executive;1963;Versailles
Caroline Parot;executive;1972;Aix-en-Provence
Catherine Barba;executive;1973;Rueil-Malmaison
Catherine Garde;executive;1519;Florence
Catherine Guillouard;executive;1965;Cannes
Catherine Lawson;executive;1940;Brooklyn
Catherine Macgregor;executive;1972;Salé
Catherine Pariset;executive;1770;Grand et mort le 3 ju
Charles Edelstenne;executive;1938;Paris
Charles Edelstenne;executive;1938;Paris
Charles Wiener-De-Croisset;executive;1943;New York
Charles-eric Bauer;executive;1961;Paris 17
Charlotte Bouygues;executive;1952;Suresnes
Cherie Blair;executive;1954;Bury
Christel Heydemann;executive;1974;Clamart
Christel Heydemann;executive;1974;Clamart
Christian Mulliez;executive;1963;Roubaix
Christian Scherer;executive;1947;Nancy
Christian Streiff;executive;1954;Sarrebourg
Christian Streiff;executive;1954;Sarrebourg
Christian Streiff;executive;1954;Sarrebourg
Christiane Lambert;executive;1961;Saint-Flour (Cantal)
Christophe Aubert;executive;1948;Avenches
Christophe Cuvillier;executive;1962;Etterbeek
Christophe Le-Roy;executive;1957;Great Neck (New York)
