name,firm
Katherine Fleming,ACCOR
Anne-laure Kiechel,ACCOR
Ugo Arzani,ACCOR
Asma Abdulrahman-Al-Khulaifi,ACCOR
Helene Potier,ACCOR
Christine Serre,ACCOR
Bruno Pavlovsky,ACCOR
Sebastien Bazin,ACCOR
Isabelle Simon,ACCOR
Iris Knobloch,ACCOR
Qiong'er Jiang,ACCOR
Sarmad Zok,ACCOR
Iliane Dumas,ACCOR
Nicolas Sarkozy-De-Nagy-Bocsa,ACCOR
Aziz Aluthman-Fakhroo,ACCOR
Nawaf Bin-Jassim-Bin-Jabor-Al-Thani,ACCOR
Sophie Gasperment,ACCOR
Chantal Hoogstoel,ACCOR
Patrick Sayer,ACCOR
Sven Boinet,ACCOR
Bertrand Meheut,ACCOR
Maria Erra,ACCOR
Natacha Valla,ACCOR
Jean Bailly,ACCOR
Vivek Badrinath,ACCOR
Ali Bouzarif,ACCOR
Nadra Moussalem,ACCOR
Aziz Aluthman-Faxhroo,ACCOR
Vanessa Schneider,AIR LIQUIDE FRANCE INDUSTRIE
Isabelle Lenfant,AIR LIQUIDE FRANCE INDUSTRIE
Olivier Randet,AIR LIQUIDE FRANCE INDUSTRIE
Nicolas Droin,AIR LIQUIDE FRANCE INDUSTRIE
Alain Le-Borgne,AIR LIQUIDE FRANCE INDUSTRIE
Mathilde Godard,AIR LIQUIDE FRANCE INDUSTRIE
Patrice Malletroit,AIR LIQUIDE FRANCE INDUSTRIE
Morgane Laugier,AIR LIQUIDE FRANCE INDUSTRIE
Maria Ballester-Herrera,AIR LIQUIDE FRANCE INDUSTRIE
Agnieszka Kula-Borsuk,AIR LIQUIDE FRANCE INDUSTRIE
Philippe Merino,AIR LIQUIDE FRANCE INDUSTRIE
Louis Richard,AIR LIQUIDE FRANCE INDUSTRIE
Sylvie Villepontoux,AIR LIQUIDE FRANCE INDUSTRIE
Vincent Serain,AIR LIQUIDE FRANCE INDUSTRIE
Anne Bardot,AIR LIQUIDE FRANCE INDUSTRIE
Benedicte Levinson,AIR LIQUIDE FRANCE INDUSTRIE
Ronald Chalmers,AIR LIQUIDE FRANCE INDUSTRIE
Nicolas Poirot,AIR LIQUIDE FRANCE INDUSTRIE
Lars Wagner,AIRBUS
Carmen-maja Rex,AIRBUS
Thomas Toepfer,AIRBUS
Guillaume Faury,AIRBUS
Christian Scherer,AIRBUS
Thierry Baril,AIRBUS
John Harrison,AIRBUS
Alberto Gutierrez-Moreno,AIRBUS
Dominik Asam,AIRBUS
Michael Schöllhorn,AIRBUS
Thomas Enders,AIRBUS
Harald Wilhelm,AIRBUS
Fabrice Bregier,AIRBUS
Thomas Williams,AIRBUS
Frederik Van-De-Velde,ARCELORMITTAL FRANCE
Alain Legrix-De-La-Salle,ARCELORMITTAL FRANCE
Bruno Ribo,ARCELORMITTAL FRANCE
Gregory Meurin,ARCELORMITTAL FRANCE
Matthieu Jehl,ARCELORMITTAL FRANCE
Yves Koeberle,ARCELORMITTAL FRANCE
Eric Niedziela,ARCELORMITTAL FRANCE
Marc Vereecke,ARCELORMITTAL FRANCE
Bart Wille,ARCELORMITTAL FRANCE
Stéphane Delpeyroux,ARCELORMITTAL FRANCE
Egbert Jansen,ARCELORMITTAL FRANCE
Henri Blaffart,ARCELORMITTAL FRANCE
Herve Bourrier,ARCELORMITTAL FRANCE
Philippe Darmayan,ARCELORMITTAL FRANCE
Ewout Steenbergen,AXA
Antoine Gosset-Grainville,AXA
Gerald Harlin,AXA
Rachel Picard,AXA
Guillaume Faury,AXA
Ramon Fernandez,AXA
