pob;dept_num;median;gini
L'Abergement-Clémenciat;1001;25820;
L'Abergement-de-Varey;1002;24480;
Ambérieu-en-Bugey;1004;21660;0.28
Ambérieux-en-Dombes;1005;24610;0.246
Ambléon;1006;24210;
Ambronay;1007;24860;0.213
Ambutrix;1008;26300;
Andert-et-Condon;1009;24810;
Anglefort;1010;24700;
Apremont;1011;24530;
Aranc;1012;24270;
Arandas;1013;22180;
Arbent;1014;22410;0.279
Arboys en Bugey;1015;23800;
Arbigny;1016;23080;
Argis;1017;20790;
Armix;1019;;
Ars-sur-Formans;1021;26430;
Artemare;1022;22000;
Asnières-sur-Saône;1023;;
Attignat;1024;24460;0.212
Bâgé-Dommartin;1025;24880;0.228
Bâgé-le-Châtel;1026;22860;
Balan;1027;25770;
Baneins;1028;25520;
Beaupont;1029;21350;
Beauregard;1030;24240;
Bellignat;1031;20550;0.277
Béligneux;1032;23060;0.249
Valserhône;1033;23780;0.322
Belley;1034;21180;0.265
Belleydoux;1035;26160;
Valromey-sur-Séran;1036;23820;
Bénonces;1037;21770;
Bény;1038;24250;
Béon;1039;22130;
Béréziat;1040;23440;
Bettant;1041;25150;
Bey;1042;25520;
Beynost;1043;28730;0.253
Billiat;1044;28550;
Birieux;1045;28180;
Biziat;1046;24260;
Blyes;1047;27110;
La Boisse;1049;26780;0.233
Boissey;1050;23180;
Bolozon;1051;;
Bouligneux;1052;27630;
Bourg-en-Bresse;1053;20210;0.294
Bourg-Saint-Christophe;1054;27320;
Boyeux-Saint-Jérôme;1056;21640;
Boz;1057;24300;
Brégnier-Cordon;1058;23420;
Brénod;1060;24970;
Brens;1061;25110;
Bressolles;1062;28710;
Brion;1063;25400;
Briord;1064;23440;
Buellas;1065;26810;
La Burbanche;1066;;
Ceignes;1067;25900;
Cerdon;1068;21410;
Certines;1069;25570;
Cessy;1071;42540;0.348
Ceyzériat;1072;25320;0.252
Ceyzérieu;1073;25250;
Chalamont;1074;23720;0.232
Chaleins;1075;24890;
Chaley;1076;21070;
Challes-la-Montagne;1077;24620;
Challex;1078;44460;
Champagne-en-Valromey;1079;22770;
Champdor-Corcelles;1080;23720;
Champfromier;1081;27400;
Chanay;1082;27880;
Chaneins;1083;25580;
Chanoz-Châtenay;1084;24050;
La Chapelle-du-Châtelard;1085;26330;
Charix;1087;27320;
Charnoz-sur-Ain;1088;28140;
Château-Gaillard;1089;25170;0.2
Châtenay;1090;24090;
Châtillon-la-Palud;1092;25470;
Châtillon-sur-Chalaronne;1093;23430;0.252
Chavannes-sur-Reyssouze;1094;23460;
Nivigne et Suran;1095;23260;
Chaveyriat;1096;23940;
Chazey-Bons;1098;22520;
Chazey-sur-Ain;1099;26780;
Cheignieu-la-Balme;1100;21090;
Chevillard;1101;26800;
Chevroux;1102;23750;
Chevry;1103;44010;
Chézery-Forens;1104;25230;
Civrieux;1105;28920;
Cize;1106;23440;
Cleyzieu;1107;22370;
Coligny;1108;23750;
Collonges;1109;33820;0.344
Colomieu;1110;20800;
Conand;1111;21730;
Condamine;1112;25520;
Condeissiat;1113;23170;
Confort;1114;30140;
Confrançon;1115;24350;
Contrevoz;1116;23210;
Conzieu;1117;22900;
Corbonod;1118;27120;
Corlier;1121;24470;
Cormoranche-sur-Saône;1123;25480;
Cormoz;1124;23440;
Corveissiat;1125;24010;
Courmangoux;1127;24080;
Courtes;1128;22520;
Crans;1129;26820;
Bresse Vallons;1130;24120;0.194
Cressin-Rochefort;1133;23660;
Crottet;1134;24310;
Crozet;1135;44040;0.371
Cruzilles-lès-Mépillat;1136;25850;
Culoz;1138;21560;0.253
Curciat-Dongalon;1139;19790;
Curtafond;1140;26220;
Cuzieu;1141;25670;
Dagneux;1142;25320;0.235
Divonne-les-Bains;1143;46650;0.4
Dompierre-sur-Veyle;1145;24100;
Dompierre-sur-Chalaronne;1146;24550;
Domsure;1147;21490;
Dortan;1148;23960;
Douvres;1149;27910;
Drom;1150;23580;
Druillat;1151;24570;
Échallon;1152;28070;
Échenevex;1153;49930;0.358
Évosges;1155;23720;
Faramans;1156;26730;
Fareins;1157;27070;0.251
Farges;1158;37990;
Feillens;1159;24360;0.227
Ferney-Voltaire;1160;27220;0.581
Flaxieu;1162;;
Foissiat;1163;23810;0.231
Francheleins;1165;26140;
Frans;1166;27060;0.24
Garnerans;1167;24530;
Genouilleux;1169;25500;
Béard-Géovreissiat;1170;24070;
Géovreisset;1171;25370;
Gex;1173;35280;0.364
Giron;1174;26560;
Gorrevod;1175;22580;
Grand-Corent;1177;24680;
Grièges;1179;24460;
Grilly;1180;55340;
Groissiat;1181;25220;
Guéreins;1183;25240;
Hautecourt-Romanèche;1184;24580;
Plateau d'Hauteville;1185;23080;0.236
Haut Valromey;1187;23000;
Illiat;1188;24070;
Injoux-Génissiat;1189;28040;
Innimond;1190;;
Izenave;1191;24140;
Izernore;1192;23500;0.234
Izieu;1193;23870;
Jassans-Riottier;1194;24030;0.231
