region;median_euro;poverty_rate;colleges;lycees_pro;lycees_gt;second_degre;cadres_and_pro;activity_rate;tertiaire
Auvergne-Rhône-Alpes;23 800;13.3;873;179;211;1381;8.9;76.5;76.2
Bourgogne-Franche-Comté;22 750;13.4;335;57;139;501;5.9;75.4;73.5
Bretagne;23 240;11.1;397;61;90;591;7.3;75.1;75.7
Centre-Val de Loire;22 780;13.5;291;54;53;426;6.7;76;74.9
Corse;22 390;18.1;31;4;88;47;5.3;73.1;80.8
Grand Est;22 960;15.1;611;105;239;950;6.6;74.8;75.7
Guadeloupe;15 720;34.5;59;11;24;94;5.5;70.6;83.1
Guyane;11 040;52.9;39;3;20;57;4.8;63.4;83.1
Hauts-de-France;21 420;18.0;672;148;369;1049;6.5;72.7;78.6
Île-de-France;25 210;16.1;1269;117;413;2004;18;76.7;87.8
La Réunion;17 070;36.1;93;15;30;146;5.1;69.5;83.6
Martinique;19 770;26.8;55;11;17;87;6.2;72.3;83.4
Normandie;22 480;13.7;394;69;155;602;6.2;74.8;74.3
Nouvelle-Aquitaine;22 710;13.8;693;143;226;1055;7;75.7;77.1
Occitanie;22 010;17.5;624;103;207;950;7.9;74;80
Pays de la Loire;23 050;11.0;439;72;173;660;7.4;77.1;73.5
Provence-Alpes-Côte d'Azur;22 820;17.4;489;93;906;787;8.1;73.5;83.3
