name,tag,dob,pob,dept_num,dept_ob,region,lat,lon,confidence
Antoine Pinay,ministre,1891,Saint-Symphorien-sur-Coise,69,Rhône,Auvergne-Rhône-Alpes,45.634387,4.449903,0.942
Wilfrid Baumgartner,ministre,1902,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Jean-Marcel Jeanneney,ministre,1910,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Wilfrid Baumgartner,ministre,1902,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Pierre Chatenet,ministre,1917,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Jean-Marcel Jeanneney,ministre,1910,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Wilfrid Baumgartner,ministre,1902,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Jean-Marcel Jeanneney,ministre,1910,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Debré,ministre,1912,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Debré,ministre,1912,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Debré,ministre,1912,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Debré,ministre,1912,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Debré,ministre,1912,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Debré,ministre,1912,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Poniatowski,ministre,1922,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Poniatowski,ministre,1922,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Poniatowski,ministre,1922,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Poniatowski,ministre,1922,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Poniatowski,ministre,1922,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Michel Poniatowski,ministre,1922,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Jean-Noël Barrot,ministre,1983,Paris 7,75,Paris,Île-de-France,48.857215881347656,2.3098840713500977,0.862
Maurice Couve de Murville,ministre,1907,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Maurice Couve de Murville,ministre,1907,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Maurice Couve de Murville,ministre,1907,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Maurice Couve de Murville,ministre,1907,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Maurice Couve de Murville,ministre,1907,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Maurice Couve de Murville,ministre,1907,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Maurice Couve de Murville,ministre,1907,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Bernard Stasi,ministre,1930,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Catherine Vautrin,ministre,1960,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Catherine Vautrin,ministre,1960,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Catherine Vautrin,ministre,1960,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Catherine Vautrin,ministre,1960,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
Catherine Vautrin,ministre,1960,Reims,51,Marne,Grand Est,49.250948,4.055595,0.959
André Bouloche,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Paul Bacon,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jacques Soustel,ministre,Not found,Not found,foreign,foreign,foreign,,,
Henri Rochereau,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Paul Bacon,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Paul Bacon,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Paul Bacon,ministre,Not found,Not found,foreign,foreign,foreign,,,
Gilbert Granval,ministre,Not found,Not found,foreign,foreign,foreign,,,
Pierre Dumas,ministre,Not found,Not found,foreign,foreign,foreign,,,
François Missolfle,ministre,Not found,Not found,foreign,foreign,foreign,,,
Gilbert Granval,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Marcel Janneney,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Marcel Janneney,ministre,Not found,Not found,foreign,foreign,foreign,,,
Xavier Ortoli,ministre,Not found,Not found,foreign,foreign,foreign,,,
François Miffofle,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Marcel Janneney,ministre,Not found,Not found,foreign,foreign,foreign,,,
nan Giscard d'EstaingValérie,ministre,Not found,Not found,foreign,foreign,foreign,,,
X Rey,ministre,Not found,Not found,foreign,foreign,foreign,,,
nan Giscard d'EstaingValérie,ministre,Not found,Not found,foreign,foreign,foreign,,,
X Rey,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jacques Chirac,ministre,Not found,Not found,foreign,foreign,foreign,,,
nan Giscard d'EstaingValérie,ministre,Not found,Not found,foreign,foreign,foreign,,,
nan Giscard d'EstaingValérie,ministre,Not found,Not found,foreign,foreign,foreign,,,
Yves Géna,ministre,Not found,Not found,foreign,foreign,foreign,,,
nan Giscard d'EstaingValérie,ministre,Not found,Not found,foreign,foreign,foreign,,,
Yves Géna,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean de Likowski,ministre,Not found,Not found,foreign,foreign,foreign,,,
Alice Saunié-Séïté,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Pierre Chevennement,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Pierre Chevennement,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jacques Ralite,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jacques Ralite,ministre,Not found,Not found,foreign,foreign,foreign,,,
André Labarère,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Pierre Chevênnement,ministre,Not found,Not found,foreign,foreign,foreign,,,
Paul Quilles,ministre,Not found,Not found,foreign,foreign,foreign,,,
Georges Chavannes,ministre,Not found,Not found,foreign,foreign,foreign,,,
Hervé de Charrette,ministre,Not found,Not found,foreign,foreign,foreign,,,
Yves Galand,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Pierre Chevênnement,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jacques Pelletier,ministre,Not found,Not found,foreign,foreign,foreign,,,
Bruno Durieu,ministre,Not found,Not found,foreign,foreign,foreign,,,
Hervé de Charrette,ministre,Not found,Not found,foreign,foreign,foreign,,,
Hervé de Charrette,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-jacques de Peretti,ministre,Not found,Not found,foreign,foreign,foreign,,,
Yves Galand,ministre,Not found,Not found,foreign,foreign,foreign,,,
Hervé de Charrette,ministre,Not found,Not found,foreign,foreign,foreign,,,
Jean-Pierre Chevênement,ministre,Not found,Not found,foreign,foreign,foreign,,,
nan ChevênementJean-Pierre,ministre,Not found,Not found,foreign,foreign,foreign,,,
François d' Aubert,ministre,Not found,Not found,foreign,foreign,foreign,,,
François Barroin,ministre,Not found,Not found,foreign,foreign,foreign,,,
François Barroin,ministre,Not found,Not found,foreign,foreign,foreign,,,
Hervé Martinon,ministre,Not found,Not found,foreign,foreign,foreign,,,
Gilles De Robien,ministre,Not found,Not found,foreign,foreign,foreign,,,
Laurent Wauquier,ministre,Not found,Not found,foreign,foreign,foreign,,,
