name;tag;dob;pob
Antoine Pinay;ministre;1891;Saint-Symphorien-sur-Coise
Wilfrid Baumgartner;ministre;1902;Paris 7
Jean-Marcel Jeanneney;ministre;1910;Paris 7
Wilfrid Baumgartner;ministre;1902;Paris 7
Pierre Chatenet;ministre;1917;Paris 7
Jean-Marcel Jeanneney;ministre;1910;Paris 7
Wilfrid Baumgartner;ministre;1902;Paris 7
Jean-Marcel Jeanneney;ministre;1910;Paris 7
Michel Debré;ministre;1912;Paris 7
Michel Debré;ministre;1912;Paris 7
Michel Debré;ministre;1912;Paris 7
Michel Debré;ministre;1912;Paris 7
Michel Debré;ministre;1912;Paris 7
Michel Debré;ministre;1912;Paris 7
Michel Poniatowski;ministre;1922;Paris 7
Michel Poniatowski;ministre;1922;Paris 7
Michel Poniatowski;ministre;1922;Paris 7
Michel Poniatowski;ministre;1922;Paris 7
Michel Poniatowski;ministre;1922;Paris 7
Michel Poniatowski;ministre;1922;Paris 7
Jean-Noël Barrot;ministre;1983;Paris 7
Maurice Couve de Murville;ministre;1907;Reims
Maurice Couve de Murville;ministre;1907;Reims
Maurice Couve de Murville;ministre;1907;Reims
Maurice Couve de Murville;ministre;1907;Reims
Maurice Couve de Murville;ministre;1907;Reims
Maurice Couve de Murville;ministre;1907;Reims
Maurice Couve de Murville;ministre;1907;Reims
Bernard Stasi;ministre;1930;Reims
Catherine Vautrin;ministre;1960;Reims
Catherine Vautrin;ministre;1960;Reims
Catherine Vautrin;ministre;1960;Reims
Catherine Vautrin;ministre;1960;Reims
Catherine Vautrin;ministre;1960;Reims
André Bouloche;ministre;Not found;Not found
Jean-Paul Bacon;ministre;Not found;Not found
Jacques Soustel;ministre;Not found;Not found
Henri Rochereau;ministre;Not found;Not found
Jean-Paul Bacon;ministre;Not found;Not found
Jean-Paul Bacon;ministre;Not found;Not found
Jean-Paul Bacon;ministre;Not found;Not found
Gilbert Granval;ministre;Not found;Not found
Pierre Dumas;ministre;Not found;Not found
François Missolfle;ministre;Not found;Not found
Gilbert Granval;ministre;Not found;Not found
Jean-Marcel Janneney;ministre;Not found;Not found
Jean-Marcel Janneney;ministre;Not found;Not found
Xavier Ortoli;ministre;Not found;Not found
François Miffofle;ministre;Not found;Not found
Jean-Marcel Janneney;ministre;Not found;Not found
