name;tag;dob;pob;dept_ob;dept_num;region;lat;lon;confidence;id
Fiona Lazaar;parliament;1985;Val-d’Oise;Haute-Garonne;31;Occitanie;43.58485;1.327324;0.697;19233
André Godin;parliament;1942;Bourg-en-Bresse;Ain;1;Auvergne-Rhône-Alpes;46.206576;5.241985;0.952;3465
Bernard Lefranc;parliament;1936;Vouël;Finistère;29;Bretagne;48.05431;-4.002782;0.847;7704
Joseph dit Virgile Barel;parliament;1889;Drap;Alpes-Maritimes;6;Provence-Alpes-Côte d'Azur;43.758587;7.333517;0.943;405
Francis Galizi;parliament;1938;Peyruis;Alpes-de-Haute-Provence;4;Provence-Alpes-Côte d'Azur;44.034454;5.943435;0.94;10948
Pierre Girardot;parliament;1913;Laragne;Hautes-Alpes;5;Provence-Alpes-Côte d'Azur;44.319256;5.824603;0.85;3435
Pierre, Marie, Henri Grandcolas;parliament;1909;Gripport;Meurthe-et-Moselle;54;Grand Est;48.412671;6.253403;0.93;3539
Mireille Robert;parliament;1962;Orthez;Pyrénées-Atlantiques;64;Nouvelle-Aquitaine;43.493121;-0.773351;0.946;19360
Sébastien David;parliament;1976;Saint-Affrique;Aveyron;12;Occitanie;43.961458;2.854273;0.945;19543
Roger Julien;parliament;1932;Nant;Haute-Loire;43;Auvergne-Rhône-Alpes;45.193518;3.913288;0.946;4097
Jean Briane;parliament;1930;Quins;Aveyron;12;Occitanie;44.233874;2.379366;0.935;1214
Victor Ringeisen;parliament;1946;Erstein;Bas-Rhin;67;Grand Est;48.41893;7.667782;0.946;10608
Colette Capdevielle;parliament;1958;Orthez;Pyrénées-Atlantiques;64;Nouvelle-Aquitaine;43.493121;-0.773351;0.946;18378
Jean Espilondo;parliament;1948;Mauléon;Deux-Sèvres;79;Nouvelle-Aquitaine;46.931266;-0.755166;0.945;9612
Daniel Poulou;parliament;1943;Biarritz;Pyrénées-Atlantiques;64;Nouvelle-Aquitaine;43.472166;-1.555076;0.95;6452
Jean-Pierre Destrade;parliament;1941;Biarritz;Pyrénées-Atlantiques;64;Nouvelle-Aquitaine;43.472166;-1.555076;0.95;2459
Guy Ebrard;parliament;1926;Assat;Pyrénées-Atlantiques;64;Nouvelle-Aquitaine;43.254609;-0.289753;0.939;2810
Maurice Plantier;parliament;1921;Biarritz;Pyrénées-Atlantiques;64;Nouvelle-Aquitaine;43.472166;-1.555076;0.95;5975
Yves Vidal;parliament;1946;Pernès;Pas-de-Calais;62;Hauts-de-France;50.485598;2.411721;0.938;7398
Jean-Yves Cousin;parliament;1949;Périers;Manche;50;Normandie;49.190374;-1.412089;0.939;10654
Jean-Marc Lefranc;parliament;1947;Grandcamp-les-bains;Haute-Saône;70;Bourgogne-Franche-Comté;47.812038;6.367901;0.3;10717
Charles Malouin;parliament;1912;Lassy;Indre-et-Loire;37;Centre-Val de Loire;47.228575;0.675398;0.953;4936
Firmin Bédoussac;parliament;1916;Omps;Cantal;15;Auvergne-Rhône-Alpes;44.879695;2.275065;0.93;565
Jacques Bobe;parliament;1936;Touzac;Corrèze;19;Nouvelle-Aquitaine;45.304433;1.848324;0.946;10636
Pierre Pranchère;parliament;1927;Brive-la-gaillarde;Corrèze;19;Nouvelle-Aquitaine;45.148038;1.517353;0.953;6480
Marc Marcangeli;parliament;1939;Ajaccio;Corse-du-Sud;2A;Corse;41.93368;8.715325;0.955;4966
Viviane Le Dissez;parliament;1959;Tréguier;Morbihan;56;Bretagne;48.009875;-2.380134;0.941;18461
René Benoît;parliament;1937;Dinan;Finistère;29;Bretagne;48.234562;-4.548457;0.958;635
Yves Le Foll;parliament;1912;Pleyben;Finistère;29;Bretagne;48.239335;-3.979163;0.941;7575
Pierre Bourdellès;parliament;1908;Louannec;Côtes-d'Armor;22;Bretagne;48.783518;-3.158227;0.944;1075
Colette Langlade;parliament;1956;Sorges;Creuse;23;Nouvelle-Aquitaine;46.283122;2.031739;0.942;17539
Michel Delpon;parliament;1949;Lafitte;Gironde;33;Nouvelle-Aquitaine;44.87354;-0.47063;0.947;19114
Jean Capelle;parliament;1909;Calès;Lot;46;Occitanie;44.763136;1.830158;0.934;1422
Christian Genevard;parliament;1924;Biarritz;Pyrénées-Atlantiques;64;Nouvelle-Aquitaine;43.472166;-1.555076;0.95;3337
Claire Lejeune;parliament;1994;Juvisy;Essonne;91;Île-de-France;48.691689;2.370786;0.858;19962
Amélie De Montchalin;parliament;1985;Lyon 8;Rhône;69;Auvergne-Rhône-Alpes;45.73036;4.865284;0.688;19293
Geneviève Colot;parliament;1950;Commegnies;Val-d'Oise;95;Île-de-France;49.125231;1.894531;0.322;1922
Moerani Frébault;parliament;1988;Atuona hiva oa;Polynésie française;987;;-9.727;-138.981;0.408;19883
Moetai Brotherson;parliament;1969;Papeete;Polynésie française;987;;-17.546787;-149.562303;0.95;19061
Jonas Tahuaitu;parliament;1944;Papearii;foreign;foreign;foreign;;;;18533
Claude Michel;parliament;1938;Elne;Pyrénées-Orientales;66;Occitanie;42.6019;2.986351;0.946;5258
Jean Peuziat;parliament;1924;Pouldavid-sur-mer;Finistère;29;Bretagne;48.608773;-4.313965;0.444;5859
Marie Jacq;parliament;1919;Henvic;Finistère;29;Bretagne;48.63363;-3.927065;0.936;3959
Gabriel de Poulpiquet;parliament;1914;Milizac;Finistère;29;Bretagne;48.468098;-4.56043;0.852;6453
Jean Faget;parliament;1923;Houeills;Lot-et-Garonne;47;Nouvelle-Aquitaine;44.195521;0.039193;0.569;11031
Christelle Dubos;parliament;1976;Le coteau;Maine-et-Loire;49;Pays de la Loire;47.284403;-1.250584;0.957;19129
Frédéric Zgainski;parliament;1972;Lyon 9;foreign;foreign;foreign;;;;19849
Gilbert Mitterrand;parliament;1949;Boulogne-billancourt;Hauts-de-Seine;92;Île-de-France;48.837892;2.241994;0.957;5313
