name;tag;dob;pob
Frédéric Joliot;college_de_france;1900;Paris 16
Emile Benveniste;college_de_france;1902;Alep
Paul Fallot;college_de_france;1889;Strasbourg
Robert Courrier;college_de_france;1895;Saxon-Sion
Szolem Mandelbrojt;college_de_france;1899;Varsovie
Louis Robert;college_de_france;Not found;Not found
Alexandre Dauvillier;college_de_france;Not found;Not found
Marcel Bataillon;college_de_france;1895;Dijon
Jean Pommier;college_de_france;1922;Niort
Paul Demiéville;college_de_france;1894;Lausanne
Emile Gaspardone;college_de_france;Not found;Not found
André Grabar;college_de_france;1896;Kiev
Paul Mus;college_de_france;1902;Bourges
Francis Perrin;college_de_france;Not found;Not found
Pierre Gourou;college_de_france;1900;Tunis
Marcel Giraud;college_de_france;1900;Nice
Jean Roche;college_de_france;1937;Beaujeu
Félix Lecoy;college_de_france;1903;Tunis
Jean Leray;college_de_france;1906;Chantenay-sur-Loire
Roger Dion;college_de_france;1896;Argenton-sur-Creuse
Georges Dumézil;college_de_france;1898;Paris 12
Alfred Fessard;college_de_france;1900;Unknown
Jean Laval;college_de_france;1900;Saint-Pardoux-le-Vieu
Fernand Braudel;college_de_france;1902;Luméville-en-Ornois
Gaston Wiet;college_de_france;1887;Unknown
Martial Guéroult;college_de_france;1891;Unknown
André Pézard;college_de_france;1893;Paris 11
René Huyghe;college_de_france;1906;Arras
Maurice Merleau-Ponty;college_de_france;1908;Rochefort
André Vaillant;college_de_france;1890;Soissons
Jacques Benoit;college_de_france;Not found;Not found
Henri-Charles Puech;college_de_france;1902;Montpellier
René Labat;college_de_france;1904;Saint-Loubès
Jean Filliozat;college_de_france;1906;Unknown
Pierre Courcelle;college_de_france;1912;Orléans
Louis Chevalier;college_de_france;Not found;Not found
André Lichnerowicz;college_de_france;1915;Bourbon-l'Archambault
Claude Frédéric-Armand Schaëffer-Forrer;college_de_france;Not found;Not found
Charles Oberling;college_de_france;1895;Metz
Jean Gagé;college_de_france;1902;Nainville-les-Roches
François Perroux;college_de_france;1903;Lyon
Etienne Wolff;college_de_france;1904;Auxerre
Henri Laoust;college_de_france;1905;Fresnes-sur-Escaut
Alain Horeau;college_de_france;1909;Nantes
Jacques Berque;college_de_france;1910;Frenda
Jean-Pierre Serre;college_de_france;1926;Bages
Etienne Drioton;college_de_france;1889;Nancy
Robert Minder;college_de_france;1902;Wasselonne
Alfred Sauvy;college_de_france;1898;Villeneuve-de-la-Raho
Louis  Leprince-Ringuet;college_de_france;1901;Alès
Claude Lévi-Strauss;college_de_france;1908;Bruxelles
Anatole Abragam;college_de_france;1914;Daugavpils
André Lallemand;college_de_france;1904;Cirey-lès-Pontailler
Bernard Halpern;college_de_france;1904;Tarnoruda
Georges Posener;college_de_france;1906;Paris 6
Jules Vuillemin;college_de_france;1920;Pierrefontaine-les-Va
