name;tag;dob;pob;lat;lon;dep_num;dep_name;region;url
Irène Sokologorsky;scholar;1936.0;Saint-Denis;-20.909778;55.444588;974;La Réunion;La Réunion;https://fr.wikipedia.org/wiki/Ir%C3%A8ne_Sokologorsky
Nicole Gnesotto;scholar;1954.0;Fort-de-France;14.636435;-61.064096;972;Martinique;Martinique;https://fr.wikipedia.org/wiki/Nicole_Gnesotto
Piotr Kowalski;scholar;1927.0;Lviv;14.844837;-61.087033;972;Martinique;Martinique;https://fr.wikipedia.org/wiki/Piotr_Kowalski
Jacques Igalens;scholar;1950.0;Montauban;16.210225;-61.499535;971;Guadeloupe;Guadeloupe;https://fr.wikipedia.org/wiki/Jacques_Igalens
Noëlle Châtelet;scholar;1944.0;Meudon;16.260195;-61.274559;971;Guadeloupe;Guadeloupe;https://fr.wikipedia.org/wiki/No%C3%ABlle_Ch%C3%A2telet
Paul Arrighi;scholar;1895.0;Renno;41.708523;9.158245;2A;Corse-du-Sud;Corse;https://fr.wikipedia.org/wiki/Paul_Arrighi
Jean-Claude Casanova;scholar;1934.0;Ajaccio;41.93368;8.715325;2A;Corse-du-Sud;Corse;https://fr.wikipedia.org/wiki/Jean-Claude_Casanova
Pierre Fouché;scholar;1891.0;Ille-sur-Têt;42.672938;2.629795;66;Pyrénées-Orientales;Occitanie;https://fr.wikipedia.org/wiki/Pierre_Fouch%C3%A9
Claude Combes;scholar;1935.0;Perpignan;42.701507;2.902811;66;Pyrénées-Orientales;Occitanie;https://fr.wikipedia.org/wiki/Claude_Combes
Gérard Gouiran;scholar;1945.0;Rove;42.72124;9.453569;2B;Haute-Corse;Corse;https://fr.wikipedia.org/wiki/G%C3%A9rard_Gouiran
Vladimir Jankélévitch;scholar;1903.0;Bourges;42.962755;1.861999;9;Ariège;Occitanie;https://fr.wikipedia.org/wiki/Vladimir_Jank%C3%A9l%C3%A9vitch
Marc Ancel;scholar;1902.0;Izeste;43.090694;-0.426825;64;Pyrénées-Atlantiques;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Marc_Ancel
