name;tag;dob;pob;dept_num;dept_ob;region;lat;lon;confidence
Frédéric Joliot;college_de_france;1900;Paris 16;75;Paris;Île-de-France;48.86101150512695;2.2834136486053467;0.868
Georges Dumézil;college_de_france;1898;Paris 12;75;Paris;Île-de-France;48.836666107177734;2.403441905975342;0.867
André Pézard;college_de_france;1893;Paris 11;75;Paris;Île-de-France;48.86030960083008;2.3786137104034424;0.867
Georges Posener;college_de_france;1906;Paris 6;75;Paris;Île-de-France;48.85261154174805;2.3332111835479736;0.861
Paul-Marie Duval;college_de_france;1912;Paris 7;75;Paris;Île-de-France;48.857215881347656;2.3098840713500977;0.862
Paul Lemerle;college_de_france;1903;Paris 12;75;Paris;Île-de-France;48.836666107177734;2.403441905975342;0.867
Jacques Monod;college_de_france;1910;Paris 17;75;Paris;Île-de-France;48.88784408569336;2.3070974349975586;0.868
André Leroi-Gourhan;college_de_france;1911;Paris 11;75;Paris;Île-de-France;48.86030960083008;2.3786137104034424;0.867
André Chastel;college_de_france;1912;Paris 12;75;Paris;Île-de-France;48.836666107177734;2.403441905975342;0.867
Marcel Froissart;college_de_france;1934;Paris 6;75;Paris;Île-de-France;48.85261154174805;2.3332111835479736;0.861
Jean Leclant;college_de_france;1920;Paris 14;75;Paris;Île-de-France;48.83161926269531;2.3244473934173584;0.867
Pierre Hadot;college_de_france;1922;Paris 15;75;Paris;Île-de-France;48.84374237060547;2.2927637100219727;0.869
Philippe Nozières;college_de_france;1932;Paris 16;75;Paris;Île-de-France;48.86101150512695;2.2834136486053467;0.868
Gilles Gaston Granger;college_de_france;1920;Paris 6;75;Paris;Île-de-France;48.85261154174805;2.3332111835479736;0.861
Antoine Labeyrie;college_de_france;1943;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Jean-Christophe Yoccoz;college_de_france;1957;Paris 11;75;Paris;Île-de-France;48.86030960083008;2.3786137104034424;0.867
Daniel Roche;college_de_france;1935;Paris 14;75;Paris;Île-de-France;48.83161926269531;2.3244473934173584;0.867
Gilles Veinstein;college_de_france;1945;Paris 7;75;Paris;Île-de-France;48.857215881347656;2.3098840713500977;0.862
Philippe Descola;college_de_france;1949;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Mireille Delmas-Marty;college_de_france;1941;Paris 17;75;Paris;Île-de-France;48.88784408569336;2.3070974349975586;0.868
Michel Devoret;college_de_france;1953;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Alain Prochiantz;college_de_france;1948;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Anne Cheng;college_de_france;1955;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Esther Duflo;college_de_france;1972;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
