name,tag,dob,pob
Katherine Fleming,executive,Not found,Not found
Anne-laure Kiechel,executive,Not found,Not found
Ugo Arzani,executive,Not found,Not found
Asma Abdulrahman-Al-Khulaifi,executive,Not found,Not found
Helene Potier,executive,Not found,Not found
Christine Serre,executive,Not found,Not found
Bruno Pavlovsky,executive,Not found,Not found
Sebastien Bazin,executive,Not found,Not found
Isabelle Simon,executive,Not found,Not found
Iris Knobloch,executive,1963,Munich
Qiong'er Jiang,executive,Not found,Not found
Sarmad Zok,executive,Not found,Not found
Iliane Dumas,executive,Not found,Not found
Nicolas Sarkozy-De-Nagy-Bocsa,executive,Not found,Not found
Aziz Aluthman-Fakhroo,executive,Not found,Not found
Nawaf Bin-Jassim-Bin-Jabor-Al-Thani,executive,Not found,Not found
Sophie Gasperment,executive,Not found,Not found
Chantal Hoogstoel,executive,Not found,Not found
Patrick Sayer,executive,Not found,Not found
Sven Boinet,executive,Not found,Not found
Bertrand Meheut,executive,1951,Rennes
Maria Erra,executive,Not found,Not found
Natacha Valla,executive,1976,Marseille
Jean Bailly,executive,1922,Saint-Germain-le-Châtelet
Vivek Badrinath,executive,Not found,Not found
Ali Bouzarif,executive,Not found,Not found
Nadra Moussalem,executive,Not found,Not found
Aziz Aluthman-Faxhroo,executive,Not found,Not found
Vanessa Schneider,executive,1969,Puteaux
Isabelle Lenfant,executive,Not found,Not found
Olivier Randet,executive,Not found,Not found
Nicolas Droin,executive,Not found,Not found
Alain Le-Borgne,executive,Not found,Not found
Mathilde Godard,executive,Not found,Not found
Patrice Malletroit,executive,Not found,Not found
Morgane Laugier,executive,Not found,Not found
Maria Ballester-Herrera,executive,Not found,Not found
Agnieszka Kula-Borsuk,executive,Not found,Not found
Philippe Merino,executive,Not found,Not found
Louis Richard,executive,1795,Rennes
Sylvie Villepontoux,executive,Not found,Not found
Vincent Serain,executive,Not found,Not found
Anne Bardot,executive,Not found,Not found
Benedicte Levinson,executive,Not found,Not found
Ronald Chalmers,executive,Not found,Not found
Nicolas Poirot,executive,Not found,Not found
Lars Wagner,executive,Not found,Not found
Carmen-maja Rex,executive,Not found,Not found
Thomas Toepfer,executive,Not found,Not found
Guillaume Faury,executive,1968,Cherbourg
Christian Scherer,executive,1947,Nancy
Thierry Baril,executive,Not found,Not found
John Harrison,executive,Not found,Not found
Alberto Gutierrez-Moreno,executive,Not found,Not found
Dominik Asam,executive,Not found,Not found
Michael Schöllhorn,executive,Not found,Not found
Thomas Enders,executive,1958,Bruchertseifen
Harald Wilhelm,executive,Not found,Not found
Fabrice Bregier,executive,1961,Dijon
Thomas Williams,executive,Not found,Not found
Frederik Van-De-Velde,executive,Not found,Not found
Alain Legrix-De-La-Salle,executive,Not found,Not found
Bruno Ribo,executive,Not found,Not found
Gregory Meurin,executive,Not found,Not found
Matthieu Jehl,executive,Not found,Not found
Yves Koeberle,executive,Not found,Not found
Eric Niedziela,executive,Not found,Not found
Marc Vereecke,executive,Not found,Not found
Bart Wille,executive,Not found,Not found
Stéphane Delpeyroux,executive,Not found,Not found
Egbert Jansen,executive,Not found,Not found
Henri Blaffart,executive,Not found,Not found
Herve Bourrier,executive,Not found,Not found
Philippe Darmayan,executive,Not found,Not found
Ewout Steenbergen,executive,Not found,Not found
Antoine Gosset-Grainville,executive,1966,Unknown
Gerald Harlin,executive,Not found,Not found
Rachel Picard,executive,1966,Lyon
Guillaume Faury,executive,1968,Cherbourg
Ramon Fernandez,executive,Not found,Not found
Clotilde Delbos,executive,Not found,Not found
Isabel Hudson,executive,Not found,Not found
Helen Browne,executive,Not found,Not found
Marie Tschudin,executive,Not found,Not found
Martine Bievre,executive,Not found,Not found
Bettina Cramm,executive,Not found,Not found
Angelien Kemna,executive,Not found,Not found
Thomas Dr-Buberl,executive,Not found,Not found
Raymond De-Oliviera-Cezar,executive,Not found,Not found
Xiaoying Duan,executive,Not found,Not found
Andre Francois-Poncet,executive,Not found,Not found
Jean Clamadieu,executive,Not found,Not found
Patricia Barbizet,executive,1955,Unknown
Denis Duverne,executive,1953,Unknown
Elaine Sarsynski,executive,Not found,Not found
Irène Dorner,executive,Not found,Not found
François Martineau,executive,1927,Unknown
Doina Palici-Chehab,executive,Not found,Not found
Stefan Lippe,executive,Not found,Not found
Jean Folz,executive,Not found,Not found
Deanna Oppenheimer,executive,Not found,Not found
Isabelle Kocher,executive,1966,Neuilly-sur-Seine
Suet Lim,executive,Not found,Not found
Paul Hermelin,executive,1952,Etterbeek
Dominique Reiniche,executive,1955,Unknown
Nathalie Szabo,executive,Not found,Not found
Sylvie Bruneau,executive,Not found,Not found
Charlotte Bouygues,executive,Not found,Not found
Jean-michel Gras,executive,Not found,Not found
Caroline Jegu,executive,Not found,Not found
Felicie Burelle,executive,Not found,Not found
Pascaline Aubepin-De-Lamothe-Dreuzy,executive,Not found,Not found
Edward Bouygues,executive,1984,Unknown
Pascal Grangé,executive,Not found,Not found
Benoit Maes,executive,Not found,Not found
Alexandre De-Rothschild,executive,Not found,Not found
Raphaelle Deflesselle,executive,Not found,Not found
Olivier Roussat,executive,1964,Moulins (Allier)
Clara Gaymard,executive,1960,Unknown
Olivier Bouygues,executive,1950,Suresnes
Martin Bouygues,executive,1952,Suresnes
Scdm,executive,Not found,Not found
Participations Scdm,executive,Not found,Not found
Rose Van-Lerberghe,executive,Not found,Not found
Michele Vilain,executive,Not found,Not found
Helman Le-Pas-De-Secheval,executive,Not found,Not found
Francis Castagne,executive,Not found,Not found
Bernard Allain,executive,Not found,Not found
Beatrice Besombes,executive,Not found,Not found
Colette Lewiner,executive,1945,Unknown
Anne Idrac,executive,Not found,Not found
Philippe Marien,executive,Not found,Not found
Sandra Nombret,executive,Not found,Not found
Patrick Kron,executive,1953,Paris
Francois Bertiere,executive,Not found,Not found
Hervé Le-Bouc,executive,Not found,Not found
Elodie Perthuisot,executive,Not found,Not found
Investissement Bpifrance,executive,Not found,Not found
Geoffroy Roux-De-Bézieux,executive,Not found,Not found
Laurent Mignon,executive,1963,Paris
Hinda Gharbi,executive,,Unknown
Pascal Lebard,executive,Not found,Not found
Jean-francois Palus,executive,Not found,Not found
Julie Avrane,executive,Not found,Not found
Christine Anglade,executive,Not found,Not found
Jerome Michiels,executive,Not found,Not found
Frederic Sanchez,executive,Not found,Not found
