name;tag;dob;pob;dept_ob;dep_num;region;lat;lon;confidence;id
Odette Grzegrzulka;depute;1947;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;3615
Charles Baur;depute;1929;Paris 16;Paris;75;Île-de-France;48.86101150512695;2.2834136486053467;0.473;506
Jean-Michel Belorgey;depute;1944;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;595
Pierre, Guy Coulon;depute;1913;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;2022
Jacques Lacarin;depute;1912;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.473;4214
Jacqueline Mathieu-Obadia;depute;1935;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;5099
Henri Fiszbin;depute;1930;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;3015
Olivier Giscard d'Estaing;depute;1927;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;3447
Pierre Sauvaigo;depute;1921;Paris 3;Paris;75;Île-de-France;48.863365173339844;2.358234405517578;0.473;6314
Diomède, Anne, Claude Catroux;depute;1916;Paris 14;Paris;75;Île-de-France;48.83161926269531;2.3244473934173584;0.473;1525
Charles Ehrmann;depute;1911;Paris 6;Paris;75;Île-de-France;48.85261154174805;2.3332111835479736;0.473;2813
Claude Vissac;depute;1943;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;7395
Jean Le Gall;depute;1922;Paris 1;Paris;75;Île-de-France;48.863826751708984;2.3342583179473877;0.473;7580
Vincent Trébuchet;depute;1988;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;20012
Robert Chapuis;depute;1933;Paris 9;Paris;75;Île-de-France;48.872615814208984;2.340359926223755;0.473;1652
François Baroin;depute;1965;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.459;421
Jacques Delhalle;depute;1922;Paris 20;Paris;75;Île-de-France;48.863311767578125;2.3996946811676025;0.473;2299
Robert Galley;depute;1921;Paris 5;Paris;75;Île-de-France;48.8465576171875;2.3515963554382324;0.473;3219
Henri Terré;depute;1900;Paris 17;Paris;75;Île-de-France;48.88784408569336;2.3070974349975586;0.473;6992
David Habib;depute;1961;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;10692
Josy Poueyto;depute;1954;Paris 4;Paris;75;Île-de-France;48.854515075683594;2.3588101863861084;0.473;19338
Gisèle Lelouis;depute;1952;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19707
Bernard Tapie;depute;1943;Paris 20;Paris;75;Île-de-France;48.863311767578125;2.3996946811676025;0.473;6949
Jean-Claude Chermann;depute;1939;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;10468
Jean-Bernard Raimond;depute;1926;Paris 12;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;6583
Jérémie Patrier-Leitus;depute;1989;Paris;Paris;75;Île-de-France;48.825944;2.385147;0.459;19762
Élisabeth Borne;depute;1961;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;19586
Guy Bailliart;depute;1946;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19438
François d'Harcourt;depute;1928;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;3750
Michel d'Ornano;depute;1924;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;5613
Robert Bisson;depute;1909;Paris 11;Paris;75;Île-de-France;48.86030960083008;2.3786137104034424;0.473;829
Raymond Triboulet;depute;1906;Paris 1;Paris;75;Île-de-France;48.863826751708984;2.3342583179473877;0.473;7151
Alain Marleix;depute;1946;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;5008
Pierre Raynal;depute;1920;Paris 20;Paris;75;Île-de-France;48.863311767578125;2.3996946811676025;0.473;6632
Henri de Richemont;depute;1946;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;6743
Félix Gaillard;depute;1919;Paris 8;Paris;75;Île-de-France;48.87311553955078;2.310023307800293;0.473;3200
Jean, Noël de Lipkowski;depute;1920;Paris 13;Paris;75;Île-de-France;48.836666107177734;2.403441905975342;0.473;7863
Alain Calmat;depute;1940;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;1381
Jean-François Deniau;depute;1928;Paris 15;Paris;75;Île-de-France;48.84374237060547;2.2927637100219727;0.473;2370
Jean Boinvilliers;depute;1921;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;895
Frédérique Meunier;depute;1960;Paris;Paris;75;Île-de-France;48.854446;2.33678;0.473;19283
Jacques Chirac;depute;1932;Paris 5;Paris;75;Île-de-France;48.8465576171875;2.3515963554382324;0.473;1798
