name,tag,dob,pob,dept_ob,dept_num,region,lat,lon,confidence,id
Jonas Tahuaitu,depute,1944,Papearii,foreign,foreign,foreign,,,,18533
Frédéric Zgainski,depute,1972,Lyon,Rhône,69,Auvergne-Rhône-Alpes,45.758,4.835,0.964,19849
Gilles Lurton,depute,1963,Saint-Servan,Indre-et-Loire,37,Centre-Val de Loire,47.589834,0.924302,0.942,18474
Vincent Delaroux,depute,1938,La Bernerie-en-Retz,Loire-Atlantique,44,Pays de la Loire,47.084814,-2.032265,0.941,2266
Stéphane Chouin,depute,1969,,foreign,foreign,foreign,,,,20048
Bruno Bourg-Broc,depute,1945,Châlons-en-Champagne,Marne,51,Grand Est,48.955254,4.368278,0.953,1079
Ibrahim Aboubacar,depute,1965,Fomboni,foreign,foreign,foreign,,,,18330
Jean Maurice Bernard,depute,1923,Brabant-le-roi,Meuse,55,Grand Est,48.844132,4.979793,0.929,683
Pierre Métais,depute,1930,Couhé,foreign,foreign,foreign,,,,5224
Guy Monjalon,depute,1947,Lésigny,Vienne,86,Nouvelle-Aquitaine,46.145964,0.660097,0.948,5344
