id,name,dept
19404,Stéphane Trompille,Ain
19172,Olga Givernet,Ain
19624,Romain Daubié,Ain
18328,Damien Abad,Ain
19472,Stéphanie Pernod Beaudon,Ain
19597,Jérôme Buisson,Ain
20021,Sophie Delorme Duret,Ain
19914,Marc Chavent,Ain
17275,Xavier Breton,Ain
10635,Étienne Blanc,Ain
17211,Charles De la Verpillière,Ain
5290,Charles Millon,Ain
7394,Michel Voisin,Ain
10631,Jean-Michel Bertrand,Ain
3465,André Godin,Ain
194,Gérard Armand,Ain
6226,Dominique Saint-Pierre,Ain
6620,Noël Ravassard,Ain
1157,Jacques Boyon,Ain
3655,Lucien Guichon,Ain
6021,Louis Robin,Ain
4190,Guy de La Verpillière,Ain
386,Paul Barberot,Ain
159,"Marcel, Louis, Julien Anthonioz",Ain
2637,Emile Dubuis,Ain
1468,Michel Carrier,Ain
5190,Amédée Mercier,Ain
19878,Eddy Casterman,Aisne
19124,Julien Dive,Aisne
19631,Jocelyn Dessigny,Aisne
19634,Nicolas Dragon,Aisne
19573,José Beaurain,Aisne
11024,Xavier Bertrand,Aisne
19049,Aude Bono-Vandorme,Aisne
1070,Emmanuelle Bouquillon,Aisne
19113,Marc Delatte,Aisne
2796,Renaud Dutreil,Aisne
13040,Pascale Gruny,Aisne
17384,Isabelle Vasseur,Aisne
18371,Jean-Louis Bricout,Aisne
353,Jean-Pierre Balligand,Aisne
10610,Daniel Gard,Aisne
18450,Jacques Krabal,Aisne
3615,Odette Grzegrzulka,Aisne
18355,Marie-Françoise Bechtel,Aisne
4295,Jean-Claude Lamant,Aisne
2563,René Dosière,Aisne
7599,Daniel Le Meur,Aisne
6674,Roland Renard,Aisne
7704,Bernard Lefranc,Aisne
2412,Jacques Desallangre,Aisne
2067,Aliette Crepin,Aisne
506,Charles Baur,Aisne
276,Robert Aumont,Aisne
2476,Gilbert Devèze,Aisne
6096,André Rossi,Aisne
6199,Guy Sabatier,Aisne
1516,Albert Catalifaud,Aisne
6789,Jean Risbourg,Aisne
1270,"Maurice, Charles Brugnon",Aisne
1222,Edmond Bricout,Aisne
94,"Edouard, Denis, Marie, Joseph Alliot",Aisne
19590,Jorys Bovet,Allier
19327,Bénédicte Peyrol,Allier
19781,Nicolas Ray,Allier
19746,Yannick Monnet,Allier
19411,Laurence Vanceunebrock,Allier
19133,Jean-Paul Dufrègne,Allier
3561,Jean Gravier,Allier
17345,Jean Mallot,Allier
10772,Yves Simon,Allier
4928,Claude Malhuret,Allier
17342,Bernard Lesterlin,Allier
5794,Pierre-André Périssol,Allier
2021,Bernard Coulon,Allier
595,Jean-Michel Belorgey,Allier
17298,Guy Chambefort,Allier
1653,Gérard Charasse,Allier
3473,Pierre Goldberg,Allier
1891,François Colcombet,Allier
1708,Albert Chaubard,Allier
1410,Guy Canard,Allier
2435,Jean-Paul Desgranges,Allier
4284,André Lajoinie,Allier
807,Jean Billaud,Allier
1277,Maurice Brun,Allier
9606,"Jean, Charles, Antoine Chabrol",Allier
5805,Gabriel Peronnet,Allier
1086,Pierre Bourgeois,Allier
2022,"Pierre, Guy Coulon",Allier
4214,Jacques Lacarin,Allier
6061,Hector Rolland,Allier
7215,Henri Védrines,Allier
5523,Jean Nègre,Allier
3710,Marcel Guyot,Allier
7237,Pierre Villon-Ginsburger,Allier
4996,Paul Maridet,Allier
4885,Charles Magne,Allier
19732,Bryan Masson,Alpes-Maritimes
19819,Lionel Tivoli,Alpes-Maritimes
19058,Marine Brenier,Alpes-Maritimes
19622,Christelle d'Intorni,Alpes-Maritimes
19409,Alexandra Valetta Ardisson,Alpes-Maritimes
19364,Cédric Roussel,Alpes-Maritimes
19402,Laurence Trastour-Isnart,Alpes-Maritimes
19733,Alexandra Masson,Alpes-Maritimes
19317,Éric Pauget,Alpes-Maritimes
19726,Alexandra Martin,Alpes-Maritimes
19127,Loïc Dombreval,Alpes-Maritimes
17297,Éric Ciotti,Alpes-Maritimes
19913,Bernard Chaix,Alpes-Maritimes
10760,Jérôme Rivière,Alpes-Maritimes
19776,Philippe Pradal,Alpes-Maritimes
10776,Michèle Tabarot,Alpes-Maritimes
14359,Charles-Ange Ginesy,Alpes-Maritimes
2858,Christian Estrosi,Alpes-Maritimes
4840,Lionnel Luca,Alpes-Maritimes
6257,Rudy Salles,Alpes-Maritimes
556,Xavier Beck,Alpes-Maritimes
18286,"Michel, Jean, Eli Rossi",Alpes-Maritimes
7769,Jean Leonetti,Alpes-Maritimes
2158,Martine Daugreilh,Alpes-Maritimes
3123,Gaston Franco,Alpes-Maritimes
5868,Albert Peyron,Alpes-Maritimes
10730,Muriel Marland-Militello,Alpes-Maritimes
3643,Jean-Claude Guibal,Alpes-Maritimes
3419,Francis Giolitti,Alpes-Maritimes
9628,Bernard Brochand,Alpes-Maritimes
215,André Aschieri,Alpes-Maritimes
5099,Jacqueline Mathieu-Obadia,Alpes-Maritimes
1919,Jean-Hugues Colonna,Alpes-Maritimes
3223,Max Gallo,Alpes-Maritimes
5860,Jacques Peyrat,Alpes-Maritimes
6315,Suzanne Sauvaigo,Alpes-Maritimes
3015,Henri Fiszbin,Alpes-Maritimes
5156,Jacques Médecin,Alpes-Maritimes
408,Jean-Paul Baréty,Alpes-Maritimes
3447,Olivier Giscard d'Estaing,Alpes-Maritimes
9605,"Jacques, Donat, Ernest Dumas-Lairolle",Alpes-Maritimes
314,Pierre Bachelet,Alpes-Maritimes
1854,Paul Cléricy,Alpes-Maritimes
3922,Fernand Icart,Alpes-Maritimes
6314,Pierre Sauvaigo,Alpes-Maritimes
5701,Pierre Pasquini,Alpes-Maritimes
5407,Louise Moreau,Alpes-Maritimes
5207,Pierre Merli,Alpes-Maritimes
5663,Francis Palméro,Alpes-Maritimes
1525,"Diomède, Anne, Claude Catroux",Alpes-Maritimes
231,Emmanuel Aubert,Alpes-Maritimes
2813,Charles Ehrmann,Alpes-Maritimes
1982,Bernard Cornut-Gentille,Alpes-Maritimes
7281,Pierre Ziller,Alpes-Maritimes
6976,Léon Teisseire,Alpes-Maritimes
5572,Louis Noilou,Alpes-Maritimes
6150,Maxime Roustan,Alpes-Maritimes
1973,Edouard Corniglion-Molinier,Alpes-Maritimes
5157,Jean Médecin,Alpes-Maritimes
405,Joseph dit Virgile Barel,Alpes-Maritimes
19478,Esther Baron,Alpes-de-Haute-Provence
19461,Emmanuelle Fontaine-Domeizel,Alpes-de-Haute-Provence
19830,Léo Walter,Alpes-de-Haute-Provence
19021,Delphine Bagarry,Alpes-de-Haute-Provence
20013,Sophie Ricourt Vaginay,Alpes-de-Haute-Provence
18382,Christophe Castaner,Alpes-de-Haute-Provence
18525,Gilbert Sauvan,Alpes-de-Haute-Provence
19663,Christian Girard,Alpes-de-Haute-Provence
594,André Bellon,Alpes-de-Haute-Provence
781,Jean-Louis Bianco,Alpes-de-Haute-Provence
3855,Robert Honde,Alpes-de-Haute-Provence
10775,Daniel Spagnou,Alpes-de-Haute-Provence
5087,François Massot,Alpes-de-Haute-Provence
2310,Pierre Delmar,Alpes-de-Haute-Provence
10948,Francis Galizi,Alpes-de-Haute-Provence
6776,Pierre Rinaldi,Alpes-de-Haute-Provence
2539,Gabriel Domenech,Alpes-de-Haute-Provence
3435,Pierre Girardot,Alpes-de-Haute-Provence
2332,Claude Delorme,Alpes-de-Haute-Provence
2511,Roger Diet,Alpes-de-Haute-Provence
5088,"Marcel, Xavier Massot",Alpes-de-Haute-Provence
2525,Ahmed Djebbour,Anciens départements d'Algérie
4262,Pierre Lagaillarde,Anciens départements d'Algérie
1001,Kheira Bouabsa,Anciens départements d'Algérie
3759,Noureddine Hassani,Anciens départements d'Algérie
4140,Rebiha Khebtani,Anciens départements d'Algérie
395,Mohamed Barboucha,Anciens départements d'Algérie
4350,Mohamed Laradji,Anciens départements d'Algérie
1757,Mustapha Chelha,Anciens départements d'Algérie
1023,Hachemi Boudjedir,Anciens départements d'Algérie
3210,Makhlouf Gahlam,Anciens départements d'Algérie
714,Djelloul Berrouaïne,Anciens départements d'Algérie
4801,"François, Joseph, Euloge Lopez",Anciens départements d'Algérie
