name;tag;dob;pob
François Abadie;senat;1930;Lourdes
Patrick Abate;senat;1956;Métlaoui
Mohamed Abdellatif;senat;1918;Not found
Nicolas About;senat;1947;Le Chesnay
Youssef Achour;senat;1914;Tizi Ouzou
Yves Ackermann;senat;1949;Belfort
Philippe Adnot;senat;1945;Rhèges-Bessy
Marie-Do Aeschlimann;senat;1974;Basse-Terre
Henri Agarande;senat;1920;Fort-de-France
Abdallah Abderamane Ahmed;senat;1919;Not found
Leila Aïchi;senat;1970;Beaumont-sur-Oise
Cheikh Al Sid Cheikh;senat;1910;Not found
Jacqueline Alduy;senat;1924;Hanoï
Jean-Paul Alduy;senat;1942;Lyon 6
Paul Alduy;senat;1914;Lima
Janine Alexandre Debray;senat;1910;Not found
Nicolas Alfonsi;senat;1936;Cargèse
Charles Allies;senat;1903;Castanet-le-Haut
Pascal Allizard;senat;1962;Paris 17
Michel Alloncle;senat;1928;Champagne-Mouton
Guy Allouche;senat;1939;Constantine
Jacqueline Alquier;senat;1947;Vabre
Gustave Alric;senat;1899;Not found
Louis Althapé;senat;1947;Unknown
Jean Amelin;senat;1927;Anglure
Auguste Amic;senat;1921;Saint-Cyr-sur-Mer
Michel Amiel;senat;1954;Cannes
Jean-Paul Amoudry;senat;1950;Serraval
Louis Andre;senat;1899;Not found
Catherine André;senat;1965;Tournon-sur-Rhône
Michèle André;senat;1947;Saint-Jacques-d'Ambur
Pierre André;senat;1947;Not found
Serge Andreoni;senat;1940;Marseille
Antoine Andrieux;senat;1916;Bastia
Bernard Angels;senat;1944;Alger
Magdeleine Anglade;senat;1921;Valence
Jean-Claude Anglars;senat;1961;Unknown
Kalliopi Ango Ela;senat;1962;Unknown
Maurice Antiste;senat;1953;Le François
Jocelyne Antoine;senat;1961;Unknown
Jean-Étienne Antoinette;senat;1966;Unknown
Alain Anziani;senat;1951;Paris 13
Cathy Apourceau-Poly;senat;1965;Unknown
Aline Archimbaud;senat;1948;Belfort
André Armengaud;senat;1901;Unknown
Jean-Michel Arnaud;senat;1966;Gap
Philippe Arnaud;senat;1949;Orvault
Guillaume Arnell;senat;1958;Unknown
Maurice Arreckx;senat;1917;Saint-Junien
Stéphane Artano;senat;1973;Unknown
Jean Arthuis;senat;1944;Saint-Martin-du-Bois
Viviane Artigalas;senat;1956;Unknown
Alphonse Arzel;senat;1927;Ploudalmézeau
Éliane Assassi;senat;1958;Paris
David Assouline;senat;1959;Sefrou
Bertrand Auban;senat;1947;Unknown
Fernand Auberger;senat;1900;Rocles
Emile Aubert;senat;1906;Not found
François Aubey;senat;1960;Caen
Jean Aubin;senat;1901;Saint-Étienne-le-Laus
André Aubry;senat;1931;Valognes
Jean Auburtin;senat;1904;Paris 1
Marcel Audy;senat;1912;Ussel
François Autain;senat;1935;Luché-sur-Brioux
Jean-Yves Autexier;senat;1950;Châtellerault
Germain Authié;senat;1927;Celles
Serge Babary;senat;1946;Tours
Jean Bac;senat;1915;Unknown
Jérémy Bacchi;senat;1986;Marseille
Jean Bacci;senat;1951;Unknown
Robert Badinter;senat;1928;Paris 16
Denis Badré;senat;1943;Pontarlier
Honoré Bailet;senat;1920;Nice
Dominique Bailly;senat;1960;Lens
Gérard Bailly;senat;1940;Uxelles
Jean Bailly;senat;1922;Saint-Germain-le-Châtelet
Octave Bajeux;senat;1914;Radinghem-en-Weppes
José Balarello;senat;1926;Nice
