Date;Sens;Sicovam ou ISIN;Valeur;Sources;Manque & Commentaires
1987 (création du CAC le 31/12/1987);;;;;
31/12/1987;Admission;12040;Accor;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1997.
- Opérations sur le capital."
31/12/1987;Admission;12007;Air Liquide;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Opérations sur le capital."
31/12/1987;Admission;?;Alcatel;Document SBF Paris;"Alcatel sera absorbé par la CGE (Compagnie Générale d'Electricité) qui deviendra Alcatel-Alsthom en 1991. Alcatel et Alsthom se sépareront en 2001.
- Code Sicovam ?
Si 13000 :
- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1994.
- Opérations sur le capital.
Retiré le 17/07/1989.
Réadmis quand ?"
31/12/1987;Admission;12193;Arjomari-Prioux;Document SBF Paris;"Rachetée par Saint-Louis en 1989.
- Cours.
- Dividendes.
- Opérations sur le capital."
31/12/1987;Admission;12141;Bancaire (Cie);Document SBF Paris;"Rachetée par Paribas en 1987.
- Cours.
- Dividendes.
- Opérations sur le capital. 
Retiré le 22/12/1997"
31/12/1987;Admission;12050;Bouygues;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1997
- Opérations sur le capital. 
Retiré le 12/11/1997. Ré-admis le 29/10/1999."
31/12/1987;Admission;12064;Danone (ex-BSN);Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1991
- Opérations sur le capital. 
Devenu Danone."
31/12/1987;Admission;12017;Carrefour;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Opérations sur le capital.
- Dividendes antérieurs à 1997."
31/12/1987;Admission;12558;Casino;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Opérations sur le capital.
- Dividendes antérieurs à 1997. 
Retiré le 09/02/1995"
31/12/1987;Admission;13000;CGE (Alcatel);Document SBF Paris;"- Cours antérieurs au 04/01/1993.
Devenu Alcatel Alsthom le 01/01/1991, puis Alcatel par la suite.
Retiré le 21/12/2012"
31/12/1987;Admission;12102;CGIP;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1997.
- Opérations sur le capital.
Retiré le 09/02/1995"
31/12/1987;Admission;13066;Chargeurs;Document SBF Paris;"- Cours.
- Dividendes.
- Opérations sur le capital."
31/12/1987;Admission;12156;Club Méditerranée;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1996.
- Opérations sur le capital.
- Dividendes antérieurs à 1999."
31/12/1987;Admission;12081;Crédit Foncier de France;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1994.
- Opérations sur le capital.
- Dividendes antérieurs à 2000.
Retiré le 14/11/1995"
31/12/1987;Admission;?;Darty;Document SBF Paris;"Racheté par ses salariés en 1988.
- Code Sicovam.
- Cours.
- Dividendes.
- Opérations sur le capital."
31/12/1987;Admission;12161;Dumez;Document SBF Paris;"Fusion en 1990 avec la Lyonnaise des eaux (ex-Suez).
- Code Sicovam.
- Cours.
- Dividendes.
- Opérations sur le capital."
31/12/1987;Admission;12143;Eaux (Gle);Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1999.
- Opérations sur le capital.
Devenu Vivendi. Retiré le 11/12/2000 et remplacé par Vivendi Universal."
31/12/1987;Admission;12042;Elf Aquitaine;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1997.
- Opérations sur le capital.
Retiré le 29/10/1999"
31/12/1987;Admission;12166;Essilor;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1997.
- Opérations sur le capital."
31/12/1987;Admission;12183;Hachette;Document SBF Paris;"- Cours.
- Dividendes.
- Opérations sur le capital.
Retiré le 22/03/1994. Devenu MATRA-HACHETTE (Avis SBF N°1993-15)"
31/12/1987;Admission;12188;Havas;Document SBF Paris;"Privatisée en 1987 et rachetée par Vivendi en 2000.
- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1997.
- Opérations sur le capital.
Retiré le 22/05/1998"
31/12/1987;Admission;12053;Lafarge Coppee;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Opérations sur le capital.
Remplacée le 18/06/2018 par Hermes International"
31/12/1987;Admission;12061;Legrand;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1999.
- Opérations sur le capital.
Retiré le 10/05/2000"
31/12/1987;Admission;12101;LVMH;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Opérations sur le capital."
31/12/1987;Admission;12052;LYONNAISE DES EAUX;Document SBF Paris;"Devenu ""SUEZ LYONNAISE DES EAUX"". Sorti du CAC suite fusion avec GDF en juillet 2008."
31/12/1987;Admission;12126;Michelin;Document SBF Paris;
31/12/1987;Admission;12062;Midi (Cie du);Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1997
- Opérations sur le capital.
Devenu Axa (fusion de Compagnie du Midi et d'Axa-Midi Assurances"
31/12/1987;Admission;12160;Navigation Mixte;Document SBF Paris;Rachetée par Paribas en 1995.
31/12/1987;Admission;?;Occidentale (Gle);Document SBF Paris;Rachetée par Alcatel en juin 1988.
31/12/1987;Admission;12032;Oréal (L');Document SBF Paris;
31/12/1987;Admission;12510;Paribas (Compagnie Financière);Document SBF Paris;Retiré le 26/05/1998
31/12/1987;Admission;12177;Pechelbronn;Document SBF Paris;
31/12/1987;Admission;12069;Pernod Ricard;Document SBF Paris;Retiré le 12/11/1997
31/12/1987;Admission;12150;Peugeot;Document SBF Paris;"Retirée le 21/09/2012 après la clôture.
- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1997
- Opérations sur le capital."
31/12/1987;Admission;12500;Saint Gobain;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Opérations sur le capital."
31/12/1987;Admission;13054;Saint Louis;Document SBF Paris;Rachetée par Pechelbronn en 2001. Retiré le 24/02/1997
31/12/1987;Admission;12023;Sanofi;Document SBF Paris;Retiré le 25/05/1999
31/12/1987;Admission;13080;Société Générale;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1997
- Opérations sur le capital."
31/12/1987;Admission;?;Télémécanique;Document SBF Paris;Racheté par Schneider en 1988.
31/12/1987;Admission;12132;Thomson CSF;Document SBF Paris;"- Cours antérieurs au 04/01/1993.
- Dividendes antérieurs à 1997
- Opérations sur le capital.
Devenu Thales"
1988;;;;;
27/05/1988;Retrait;?;Occidentale (Gle);;Retrait suite à OPA de CGE (Compagnie Générale d'Electricité)
27/05/1988;Retrait;?;Télémécanique;;Retrait suite à OPA de Schneider.
27/05/1988;Admission;12080;Merlin Gérin;;"- Cours
- Dividendes
- Opérations sur le capital."
27/05/1988;Admission;13090;Suez;;"- Cours
- Dividendes
- Opérations sur le capital. 
Retiré le 25/07/1997"
03/08/1988;Retrait;?;Darty;;Le 29/04/1988, l'équipe dirigeante de DARTY a lancé une OPA pour permettre aux salariés de racheter l'entreprise. 90% des salariés rachetèrent 56% de DARTY.
03/08/1988;Admission;12533;Cap Gémini;;
1989;;;;;
17/07/1989;Retrait;?;Alcatel;;
01/08/1989;Admission;12570;CCF;;Retiré le 26/06/2000
1990;;;;;
02/05/1990;Retrait;12166;Essilor;;
02/05/1990;Retrait;12160;Navigation Mixte;;Retrait suite fusion avec Allianz.
02/05/1990;Retrait;12177;Pechelbronn;;
02/05/1990;Admission;12546;Canal +;;Retiré le 11/12/2000
02/05/1990;Admission;13100;Matra;;
02/05/1990;Admission;13026;UAP;;Retiré le 09/12/1996
23/10/1990;Retrait;12161;Dumez;;Racheté par la Lyonnaise des Eaux.
10/12/1990;Retrait;12080;Merlin Gérin;;Devient SCHNEIDER SA
10/12/1990;Admission;12011;SCHNEIDER SA;;
10/12/1990;Admission;12115;Source Perrier;;
1991;;;;;
02/12/1991;Retrait;12193;Arjomari-Prioux;;OPE de SAINT LOUIS (Avis SBF N°91-3497 et avis SBF N°91-3606)
02/12/1991;Admission;12027;Total;;
1992;;;;;
19/03/1992;Retrait;12115;Source Perrier;;Conditions de l'OPA, voir les avis SBF N°92-155, avis SBF N°92-456 et avis SBF N°92-709.
19/03/1992;Admission;12587;Eurodisney;;Retiré le 09/02/1995
1993;;;;;
25/01/1993;Retrait;13100;Matra;Avis SBF N°1993-15;HACHETTE devient MATRA-HACHETTE.
22/02/1993;Admission;13046;Rhone Poulenc;;Devenu Aventis puis retiré le 19/06/2004 suite fusion-acquisition par Sanofi.
28/09/1993;Retrait;12011;SCHNEIDER SA;Avis SBF N°1993-2624;
28/09/1993;Admission;12594;SCHNEIDER SA (ex-SPEP);Avis SBF N°1993-2624;"SPEP ""devient SCHNEIDER SA (ex-SPEP)"". Retiré le 18/07/1995"
17/11/1993;Retrait;12533;Cap Gémini;Avis SBF N°93-3176;
17/11/1993;Retrait;13066;Chargeurs;Avis SBF N°93-3176;
17/11/1993;Retrait;12156;Club Méditerranée;Avis SBF N°93-3176;
17/11/1993;Admission;13110;BNP;Avis SBF N°93-3176;Devenu BNP-Paribas.
17/11/1993;Admission;13038;Crédit Local de France;Avis SBF N°93-3176;Devenu Dexia France. Retiré le 25/10/1999.
17/11/1993;Admission;12110;Promodès;Avis SBF N°93-3176;Retiré le 28/10/1999
1994;;;;;
22/03/1994;Retrait;12183;MATRA-HACHETTE;Avis SBF N°94-844;
20/04/1994;Admission;13021;Lagardère Groupe;Avis SBF N°94-844;
1995;;;;;
09/02/1995;Retrait;12558;Casino Guichard-Perrachon;Avis SBF N°95-343;
09/02/1995;Retrait;12102;CGIP;Avis SBF N°95-343;
