name;tag;dob;pob;dept_ob;dept_num;region;lat;lon;confidence;id
Fiona Lazaar;depute;1985;Val-d’Oise;;;;;;;19233
André Godin;depute;1942;Bourg-en-Bresse;;;;;;;3465
Bernard Lefranc;depute;1936;Vouël;;;;;;;7704
Joseph dit Virgile Barel;depute;1889;Drap;;;;;;;405
Francis Galizi;depute;1938;Peyruis;;;;;;;10948
Pierre Girardot;depute;1913;Laragne;;;;;;;3435
Pierre, Marie, Henri Grandcolas;depute;1909;Gripport;;;;;;;3539
Mireille Robert;depute;1962;Orthez;;;;;;;19360
Sébastien David;depute;1976;Saint-Affrique;;;;;;;19543
Roger Julien;depute;1932;Nant;;;;;;;4097
Jean Briane;depute;1930;Quins;;;;;;;1214
Victor Ringeisen;depute;1946;Erstein;;;;;;;10608
Colette Capdevielle;depute;1958;Orthez;;;;;;;18378
Jean Espilondo;depute;1948;Mauléon;;;;;;;9612
Daniel Poulou;depute;1943;Biarritz;;;;;;;6452
Jean-Pierre Destrade;depute;1941;Biarritz;;;;;;;2459
Guy Ebrard;depute;1926;Assat;;;;;;;2810
Maurice Plantier;depute;1921;Biarritz;;;;;;;5975
Yves Vidal;depute;1946;Pernès;;;;;;;7398
Jean-Yves Cousin;depute;1949;Périers;;;;;;;10654
Jean-Marc Lefranc;depute;1947;Grandcamp-les-bains;;;;;;;10717
Charles Malouin;depute;1912;Lassy;;;;;;;4936
Firmin Bédoussac;depute;1916;Omps;;;;;;;565
Jacques Bobe;depute;1936;Touzac;;;;;;;10636
Pierre Pranchère;depute;1927;Brive-la-gaillarde;;;;;;;6480
Marc Marcangeli;depute;1939;Ajaccio;;;;;;;4966
Viviane Le Dissez;depute;1959;Tréguier;;;;;;;18461
René Benoît;depute;1937;Dinan;;;;;;;635
Yves Le Foll;depute;1912;Pleyben;;;;;;;7575
Pierre Bourdellès;depute;1908;Louannec;;;;;;;1075
Colette Langlade;depute;1956;Sorges;;;;;;;17539
Michel Delpon;depute;1949;Lafitte;;;;;;;19114
Jean Capelle;depute;1909;Calès;;;;;;;1422
Christian Genevard;depute;1924;Biarritz;;;;;;;3337
Claire Lejeune;depute;1994;Juvisy;;;;;;;19962
Amélie De Montchalin;depute;1985;Lyon 8;;;;;;;19293
Geneviève Colot;depute;1950;Commegnies;;;;;;;1922
Moerani Frébault;depute;1988;Atuona hiva oa;;;;;;;19883
Moetai Brotherson;depute;1969;Papeete;;;;;;;19061
Jonas Tahuaitu;depute;1944;Papearii;;;;;;;18533
Claude Michel;depute;1938;Elne;;;;;;;5258
Jean Peuziat;depute;1924;Pouldavid-sur-mer;;;;;;;5859
Marie Jacq;depute;1919;Henvic;;;;;;;3959
Gabriel de Poulpiquet;depute;1914;Milizac;;;;;;;6453
Jean Faget;depute;1923;Houeills;;;;;;;11031
Christelle Dubos;depute;1976;Le coteau;;;;;;;19129
Frédéric Zgainski;depute;1972;Lyon 9;;;;;;;19849
Gilbert Mitterrand;depute;1949;Boulogne-billancourt;;;;;;;5313
Noël Mamère;depute;1948;Libourne;;;;;;;4943
Martine Faure;depute;1948;Langon;;;;;;;17300
Jean-François Régère;depute;1947;Talais;;;;;;;10756
Michèle Delaunay;depute;1947;Clermont-ferrand;;;;;;;17280
Chantal Bourragué;depute;1946;Angoulême;;;;;;;10639
Alain Juppé;depute;1945;Mont-de-marsan;;;;;;;4104
Bernard Madrelle;depute;1944;Saint-seurin-de-cursac;;;;;;;4875
Conchita Lacuey;depute;1943;Bordeaux;;;;;;;4241
Pierre Ducout;depute;1942;Bordeaux;;;;;;;2658
Jean-Claude Barran;depute;1942;Narosse;;;;;;;429
Hugues Martin;depute;1942;Mâcon;;;;;;;13571
Chantal Berthelot;depute;1958;Mana;;;;;;;17266
Roch Meynier;depute;1928;Pontchy;;;;;;;5245
Jean Brocard;depute;1920;Gray;;;;;;;1244
Christian Bergelin;depute;1945;Gray;;;;;;;661
Pierre, Joseph, Louis, Léon Vitter;depute;1913;Gray;;;;;;;7259
René, Sylvain, Edouard Billères;depute;1910;Ger;;;;;;;809
Michel Margnes;depute;1944;Cancon;;;;;;;4992
Jean, Eugène, Pierre Lacombe;depute;1939;Saint-cyr-l'ecole;;;;;;;4227
Charles Pasqua;depute;1927;Grasse;;;;;;;5698
Nathalie Oziol;depute;1990;Toulouse;;;;;;;19755
Gilles d'Ettore;depute;1968;Agde;;;;;;;17284
Mickaël Bouloux;depute;1972;Dinan;;;;;;;19587
Gilles Lurton;depute;1963;Saint-servan-sur mer;;;;;;;18474
Georges Coudray;depute;1902;Evran;;;;;;;2010
Henri Lassourd;depute;1902;Ploubalay;;;;;;;4385
Bernard Pousset;depute;1950;Diou;;;;;;;13045
René Caillaud;depute;1891;Issoudin;;;;;;;1364
Claude Greff;depute;1954;Briey;;;;;;;10689
Pierre Lepage;depute;1909;Orbigny;;;;;;;7776
Louis Jouhanneau;depute;1885;Nohant-vicq;;;;;;;4065
Alain Moyne-Bressand;depute;1945;Jallieu;;;;;;;5470
Georges Colombier;depute;1940;Jallieu;;;;;;;1915
Odile Sicard;depute;1930;Broc;;;;;;;6826
Jean Boyer;depute;1923;Oyeu;;;;;;;1153
Jean Bernard;depute;1912;Plan;;;;;;;684
Joël Goyheneix;depute;1954;Mauléon;;;;;;;3532
Louis Lauga;depute;1940;Momas;;;;;;;4395
Jean-Pierre Pénicaut;depute;1937;Amou;;;;;;;5767
Paul Cormier;depute;1921;Houssay;;;;;;;1965
Jean Auroux;depute;1942;Thizy;;;;;;;286
Liliane Vaginay;depute;1941;Thizy;;;;;;;14360
Vincent Delaroux;depute;1938;Labernerie;;;;;;;2266
Olivier Guichard;depute;1920;Néac;;;;;;;3652
Stéphane Chouin;depute;1969;N/A;;;;;;;20048
Jean-Paul Charié;depute;1952;Egry;;;;;;;1658
Jean-Claude Portheault;depute;1935;Toury;;;;;;;6436
Pierre Charié;depute;1915;Egry;;;;;;;1659
Henri, Albert, André Duvillard;depute;1910;Luxeuil-les-bains;;;;;;;2807
Georges Caillau;depute;1922;Nérac;;;;;;;1361
